LCODE,STATE,LATITUDE,LONGITUDE,LDATECRTD,LDATERETD,LRETRESON,JURLINK
10MC,SA,-28.92704,134.78852,8/11/2010,,,
10MI,NT,-20.40628,134.75934,1/01/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=1022
10MO,NT,-22.466667,132.37658,1/01/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=1004
16MI,NT,-23.45764,133.83248,1/01/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=783
4MIL,NT,-11.77798,130.59548,1/01/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=1006
5MBO,NT,-23.23265,131.98296,1/01/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=759
AAYK,QLD,-13.86462,141.500979,31/10/2008,,,
ABYD,WA,-21.404377,118.916156,29/10/2008,,,
ACAC,NT,-12.8142,131.1715,1/09/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=279
ADBA,NT,-11.238333,131.973548,1/01/2007,,,
ADEB,NT,-22.21485,133.93607,1/09/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=1
ADEL,NT,-13.2445,131.1041,1/01/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=427
ADJG,NT,-11.15182,132.47559,1/01/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=895
AERO,SA,-26.25586,132.17962,1/01/2007,,,
AERT,SA,-26.25108,132.19336,1/11/2010,,,
AKAR,NT,-23.05992,136.19361,1/01/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=787
AKEN,SA,-34.55509691,135.8745738,30/06/2009,,,
AKNG,NT,-23.6928,133.8612,1/09/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=3
AKWA,NT,-13.86346,136.77866,1/01/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=959
ALAM,NT,-11.06745,132.52835,1/01/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=280
ALAT,NT,-23.09733,134.21897,1/01/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=693
ALCT,NT,-22.82086,134.45011,17/06/2010,,,
ALHA,NT,-13.67507,136.05261,1/01/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=441
ALIC,NT,-21.003334,134.40694,1/06/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=202
ALID,NSW,-30.0859,145.92,28/10/2008,,,
ALIW,NT,-24.88123,134.22962,1/01/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=852
ALKI,NT,-23.27356,131.82924,1/09/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=4
ALKN,NT,-23.95602,132.46233,1/12/2007,,,http://www.ntlis.nt.gov.au/placenames/view.jsp?id=769
ALLI,WA,-16.02969449,128.8784082,1/01/2007,,,
