LCODE,NCODE,NAME,NFLAG,NDATECRTD,NDATERETD,NRETRESON
10MC,10MC001,10 MILE,P,,,
10MC,10MC002,TEN MILE,A,,,
10MI,10MI001,10 MILE,P,,,
10MI,10MI002,10 MILE BORE,A,,,
10MI,10MI003,TEN MILE,A,,,
10MI,10MI004,PALPANG,A,,,
10MI,10MI005,KURUNDI OUTSTATION,A,,,
10MO,10MO001,10 MILE OUTSTATION,P,,,
10MO,10MO002,TEN MILE OUTSTATION,A,,,
16MI,16MI001,16 MILE CAMP,P,,,
16MI,16MI002,BOND SPRINGS,A,,,
16MI,16MI003,16 MILE,A,,,
4MIL,4MIL001,4 MILE CAMP,P,,,
4MIL,4MIL002,FOUR MILE CAMP,A,,,
4MIL,4MIL003,4 MILE CAMP NGUIU,A,,,
4MIL,4MIL004,NGUIU 4 MILE CAMP,A,,,
5MBO,5MBO001,5 MILE BORE,P,,,
5MBO,5MBO002,5 MILE,A,,,
AAYK,AAYK001,AAYKA,P,,,
AAYK,AAYK002,NEW AAYK,A,,,
AAYK,AAYK003,LOWER KIRKE RIVER,A,,,
AAYK,AAYK004,MULPA'EL-NHIIN,A,,,
ABYD,ABYD001,ABYDOSS VILLAGE,P,,,
ACAC,ACAC001,ACACIA LARRAKIA,P,,,
ACAC,ACAC002,ACACIA GAP,A,,,
ADBA,ADBA001,ADBANAE,P,,,
ADBA,ADBA002,TREPANG BAY,A,,,
ADEB,ADEB001,ADELAIDE BORE,P,,,
ADEB,ADEB002,WOOLA,A,,,
ADEB,ADEB003,WOOLLA,A,,,
ADEB,ADEB004,WOOLA DOWNS,A,,,
ADEL,ADEL001,AMANGAL,P,,,
ADEL,ADEL002,ADELAIDE RIVER TOWN CAMP,A,,,
ADEL,ADEL003,AMANGAL INDIGENOUS VILLAGE,A,,,
ADEL,ADEL004,WAIRIA,A,,,
ADEL,ADEL005,ADELAIDE RIVER COMMUNITY,A,,,
ADEL,ADEL006,WAIRIA ASSOCIATION,A,,,
ADJG,ADJG001,ADJAMARRAGU,P,,,
ADJG,ADJG002,ANJAMARRAGU,A,,,
AERO,AERO001,AEROPLANE ONE,P,,,
AERO,AERO002,AEROPLANE NO 1,A,,,
AERO,AERO003,AEROPLANE 1,A,,,
AERT,AERT001,AEROPLANE TWO,P,,,
AERT,AERT002,AEROPLANE 2,A,,,
AERT,AERT003,AEROPLANE - 2,A,,,
AERT,AERT004,AEROPLANE NO 2,A,,,
AKAR,AKAR001,AKARNENEHE WELL,P,,,
AKAR,AKAR002,APIWENTYE,A,,,
AKAR,AKAR003,AKARNENEHE,A,,,
AKEN,AKEN001,AKENTA,P,,,
AKEN,AKEN002,SEAVIEW,A,,,
AKNG,AKNG001,AKNGWERTNARRE,P,,,
AKNG,AKNG002,MORRIS SOAK,A,,,
AKWA,AKWA001,AKWALIRRUMANJA,P,,,
AKWA,AKWA002,4 MILE,A,,,
AKWA,AKWA003,FOUR MILE,A,,,
ALAM,ALAM001,ALAMIRRA,P,,,
ALAM,ALAM002,ALAMIRR,A,,,
ALAT,ALAT001,ALATYEYE,P,,,
ALAT,ALAT002,TURNERS CAMP,A,,,
ALCT,ALCT001,ALCOOTA STATION,P,,,
ALCT,ALCT002,ALCOOTA,A,,,
ALHA,ALHA001,ALHARRGAN,P,,,
ALHA,ALHA002,CAPE BARRON,A,,,
ALHA,ALHA003,CAPE BARROW,A,,,
ALIC,ALIC001,ALI CURUNG,P,,,
ALIC,ALIC002,ALEKARENGE,A,,,
ALIC,ALIC003,ALE-KERANGE,A,,,
ALIC,ALIC004,WARRABRI,A,,,
ALIC,ALIC005,WARRIBRI,A,,,
ALID,ALID001,ALICE EDWARDS VILLAGE,P,,,
ALIW,ALIW001,ALICE WELL,P,,,
ALIW,ALIW002,RITJINGKA,A,,,
ALKI,ALKI001,ALKIPI,P,,,
ALKI,ALKI002,YALKIPI,A,,,
ALKI,ALKI003,MOUNT LARRY,A,,,
ALKI,ALKI004,ALKPIE,A,,,
ALKI,ALKI005,ALKIPIE,A,,,
ALKN,ALKN001,ALKNGARRIINTJA,P,,,
ALKN,ALKN002,ILKILALAMA NO.2,A,,,
ALKN,ALKN003,ALKNGARINTJA,A,,,
ALKN,ALKN004,ALKNGARRINTJA,A,,,
ALLI,ALLI001,ALLIGATOR HOLE,P,,,
ALLI,ALLI002,ALLIGATOR COMMUNITY,A,,,
ALLI,ALLI003,ALLIGATOR HOLE COMMUNITY,A,,,
ALLI,ALLI004,ALLIGATOR CAMP,A,,,
ALPA,ALPA001,ALPARA,P,,,
ALPU,ALPU001,ALPURRURULAM,P,,,
ALPU,ALPU002,LAKE NASH,A,,,
ALPU,ALPU003,ILPERRELHELAM,A,,,
ALPU,ALPU004,WART ALPARAYETYE,A,,,
ALPU,ALPU005,WARTE ALPARAYETYE,A,,,
ALYI,ALYI001,ALYINGBERRMA,P,,,
ALYI,ALYI002,ALYINGBARRUMA,A,,,
ALYI,ALYI003,QANTAS,A,,,
ALYU,ALYU001,ALYUEN,P,,,
ALYU,ALYU002,AILERON,A,,,
ALYU,ALYU003,ALUM,A,,,
ALYU,ALYU004,ALUM CAMP,A,,,
AMAD,AMAD001,AMATJATPALK,P,,,
AMAD,AMAD002,AMALJATPALK,A,,,
AMAD,AMAD003,AMADJIBALK,A,,,
AMAD,AMAD004,AMADJI BALK,A,,,
AMAD,AMAD005,GOULBURN ISLAND,A,,,
AMAD,AMAD006,SOUTH GOULBURN,A,,,
AMAD,AMAD007,AMADJIBAL,A,,,
AMAN,AMAN001,AMANBIDJI,P,,,
AMAN,AMAN002,MIALUNI,A,,,
AMAN,AMAN003,KILDURK,A,,,
AMAN,AMAN004,AMANBIDGEE STATION,A,,,
AMAT,AMAT001,AMATA,P,,,
AMAU,AMAU001,AMANBURNUNGA,P,,,
AMAU,AMAU002,AMENGUNUA,A,,,
AMAU,AMAU003,DALUMBU BAY,A,,,
AMAU,AMAU004,AMENBUNUA,A,,,
AMAU,AMAU005,SALT LAKE,A,,,
AMAU,AMAU006,DALUMBA BAY,A,,,
AMBA,AMBA001,AMBANG,P,,,
AMBR,AMBR001,AMBRYM POINT,P,,,
AMBU,AMBU001,AMBURLA STATION,P,,,
AMBU,AMBU002,ANBURLA,A,,,
AMBU,AMBU003,AMBOOLA,A,,,
AMEG,AMEG001,AMENGERNTERNEAH,P,,,
AMEG,AMEG002,UTOPIA CLINIC,A,,,
AMEG,AMEG003,MINGINTIRNINA,A,,,
AMEG,AMEG004,URAPENTYE,A,,,
AMEG,AMEG005,URAPUNTJA HEALTH CENTRE,A,,,
AMEG,AMEG006,URAPUNTJA HEALTH SERVICE,A,,,
AMIR,AMIR001,AMIRRABA,P,,,
AMIR,AMIR002,8 MILE,A,,,
AMIR,AMIR003,AMIRRABA (8 MILE),A,,,
AMIR,AMIR004,EIGHT MILE,A,,,
AMOO,AMOO001,AMOONGUNA,P,,,
AMPI,AMPI001,AMPILATWATJA,P,,,
AMPI,AMPI002,AHARRENGE,A,,,
AMPI,AMPI003,AHERRE,A,,,
AMPI,AMPI004,AMMARO,A,,,
AMPI,AMPI005,AMPERLATWATYE,A,,,
AMPI,AMPI006,HONEYMOON BORE,A,,,
AMPI,AMPI007,AMMAROO,A,,,
AMPU,AMPU001,AMPUTJUTA,P,,,
AMPU,AMPU002,UMPUTJUTA,A,,,
AMUN,AMUN001,AMUNDURNGUA,P,,,
AMUN,AMUN002,AMUNDURNGUA SPRINGS,A,,,
AMUR,AMUR001,AMUROONA,P,,,
ANDA,ANDA001,ANDANANGKI,P,,,
ANDA,ANDA002,ANDANANGGKI,A,,,
ANDA,ANDA003,ANDANANKI,A,,,
ANDA,ANDA004,ANDHANANGGI,A,,,
ANDA,ANDA005,WALKER RIVER,A,,,
ANGA,ANGA001,ANKABADBIRRI,P,,,
ANGA,ANGA002,ANGABABIRRAYI,A,,,
ANGA,ANGA003,AN-GABARRBIRRIYA,A,,,
ANGA,ANGA004,BOTGARDI,A,,,
ANGA,ANGA005,BOTKARRI,A,,,
ANGE,ANGE001,ANGKERLE ARRENGE B,P,,,
ANGK,ANGK001,ANGKERLE ARRENGE A,P,,,
ANGL,ANGL001,ANGULA,P,,,
ANGL,ANGL002,ANGKULA,A,,,
ANGL,ANGL003,ANGKOLA,A,,,
ANGR,ANGR001,ANGWURA,P,,,
ANGR,ANGR002,SALT LAKE,A,,,
ANGR,ANGR003,ANGUWARRMANJA,A,,,
ANGR,ANGR004,CENTRAL LAKE,A,,,
ANGR,ANGR005,ANGURRKURRIKBA,A,,,
ANGS,ANGS001,ANGAS DOWNS,P,,,
ANGS,ANGS002,ANGUS DOWNS,A,,,
ANGT,ANGT001,ANGATJA,P,,,
ANGU,ANGU001,ANGURUGU,P,,,
ANGY,ANGY001,ANGATYEPE,P,,,
ANKE,ANKE001,ANKERRAPW,P,,,
ANKE,ANKE002,UTOPIA HOMESTEAD,A,,,
ANKE,ANKE003,ANGKARRIPA,A,,,
ANKE,ANKE004,ANGKWETENGARENYE,A,,,
ANKE,ANKE005,ANKARRIPA,A,,,
ANKE,ANKE006,OLD UTOPIA HOMESTEAD,A,,,
ANKW,ANKW001,ANKWELEYELENGKYE,P,,,
ANKW,ANKW002,WILD PLUM,A,,,
ANKW,ANKW003,AMARELENGKWE,A,,,
ANNE,ANNE001,ANNERRE,P,,,
ANNI,ANNI001,ANNINGE,P,,,
ANNI,ANNI002,YANGINJ,A,,,
ANNI,ANNI003,ANNINGIE,A,,,
ANTA,ANTA001,ANTARA,P,,,
ANTE,ANTE001,ANTERE,P,,,
ANTE,ANTE002,JOKERS CAMP,A,,,
ANTE,ANTE003,GOYDER SR,A,,,
ANTE,ANTE004,COLSONS WELL,A,,,
ANTH,ANTH001,ANTHEPE,P,,,
ANTH,ANTH002,DRIVE IN CAMP,A,,,
ANTH,ANTH003,NTAPA,A,,,
ANTH,ANTH004,DRIVE-IN,A,,,
ANTL,ANTL001,ANTHELK-EWLPAYE,P,,,
ANTL,ANTL002,CHARLES CREEK,A,,,
ANTL,ANTL003,CHARLES RIVER,A,,,
ANTL,ANTL004,ANTHE-EWLPAYE,A,,,
ANTL,ANTL005,ANTHELK EWLPAYE,A,,,
ANTL,ANTL006,ANTHE EWLPAYE,A,,,
APAR,APAR001,APARATJARA,P,,,
APAW,APAW001,OLD APARAWILINTJA,P,,,
APAW,APAW002,APAWARALINTJA,A,,,
APAW,APAW003,APARAWILINTJA,A,,,
APER,APER001,APER-ALWERRKNGE,P,,,
APER,APER002,PALMERS CAMP,A,,,
APER,APER003,APER ALNERRKNGE,A,,,
APER,APER004,APER ALWERRNGE,A,,,
APER,APER005,PALMER'S CAMP,A,,,
APER,APER006,APER ALWERRKNGE,A,,,
APME,APME001,APMERE MWERRE,P,,,
APME,APME002,APMERE MWERRE VISITOR PARK,A,,,
ARAR,ARAR001,ARARU POINT,P,,,
ARAR,ARAR002,ARARU,A,,,
ARAW,ARAW001,ARAWERR,P,,,
ARAW,ARAW002,IYNGIYNYALA,A,,,
ARAW,ARAW003,SOAPY BORE,A,,,
ARAW,ARAW004,ARRAWARRA,A,,,
ARAW,ARAW005,ARRAWERR,A,,,
ARCR,ARCR001,ARCHER RIVER,P,,,
AREY,AREY001,AREYONGA,P,,,
AREY,AREY002,UTU,A,,,
AREY,AREY003,UTJU,A,,,
ARKA,ARKA001,ARRKAPA,P,,,
ARKA,ARKA002,ARKANKAPUTA,A,,,
ARKA,ARKA003,ARKAPPA,A,,,
ARKA,ARKA004,DENNIS'S,A,,,
ARKA,ARKA005,ARKANAPUTA,A,,,
ARKA,ARKA006,ARRKARNKAPUTA,A,,,
ARKN,ARKN001,ARKANTA,P,,,
ARKN,ARKN002,ARKARNTA,A,,,
ARKN,ARKN003,AKANTA,A,,,
ARKN,ARKN004,NO.5 BORE,A,,,
ARKN,ARKN005,NUMBER 5 BORE,A,,,
ARKN,ARKN006,UKANTA,A,,,
ARLP,ARLP001,ARLPARRA,P,,,
ARLP,ARLP002,ANGARAPA,A,,,
ARLP,ARLP003,UTOPIA,A,,,
ARLP,ARLP004,URAPUNTJA,A,,,
ARLP,ARLP005,UTOPIA NEW STORE,A,,,
ARLP,ARLP006,AHALPERE,A,,,
ARMO,ARMO001,ARMORRAN,P,,,
ARMS,ARMS001,ARMSTRONGS,P,,,
ARMS,ARMS002,ARMSTRONG'S CAMP,A,,,
ARMS,ARMS003,KUNOTHS' CAMP,A,,,
ARMS,ARMS004,KUNOTHS,A,,,
ARMS,ARMS005,KUNOTH,A,,,
ARRA,ARRA001,ARRAWAJIN,P,,,
ARRA,ARRA002,ARRANJIN,A,,,
ARRA,ARRA003,WHISTLE DUCK,A,,,
ARRA,ARRA004,ARRAJAWIN,A,,,
ARRA,ARRA005,WHISTLEDUCK,A,,,
ARRD,ARRD001,MURGENELLA PLAINS,P,,,
ARRD,ARRD002,ARRDUKBUKBUN,A,,,
ARRG,ARRG001,ARRGAMURRMURR,P,,,
ARRG,ARRG002,ARGAMURRMURR,A,,,
ARRG,ARRG003,KEITH WILLIAMS OUTSTATION,A,,,
ARRG,ARRG004,ARRGAMURRMUR,A,,,
ARRG,ARRG005,KEITH WILLIAMS,A,,,
ARRI,ARRI001,ARRILLHJERE,P,,,
ARRI,ARRI002,ARRLIHJERE,A,,,
ARRU,ARRU001,ARRUNGE,P,,,
ARRU,ARRU002,GARDEN BORE,A,,,
ARRU,ARRU003,FERDIES BORE,A,,,
ARTE,ARTE001,ARTEKERR,P,,,
ARTE,ARTE002,ARTEKKERRE,A,,,
ARTE,ARTE003,ATIKIRRA,A,,,
ARTE,ARTE004,THREE BORES,A,,,
ATAM,ATAM001,ATAMBAYA,P,,,
ATHE,ATHE001,ATHELEY,P,,,
ATHE,ATHE002,ATHILIYA,A,,,
ATHE,ATHE003,SILLYA,A,,,
ATIT,ATIT001,ATITJERE,P,,,
ATIT,ATIT002,HART RANGE,A,,,
ATIT,ATIT003,HARTS RANGE,A,,,
ATIT,ATIT004,ARLTARLPILTA,A,,,
ATIT,ATIT005,ARTARLPILTA,A,,,
ATJI,ATJI001,ATJI CREEK,P,,,
ATNE,ATNE001,ATNELTYEY,P,,,
ATNE,ATNE002,BOUNDARY BORE,A,,,
ATNE,ATNE003,ALLALGARA ANNANGARA,A,,,
ATNE,ATNE004,ANILTJIY,A,,,
ATNE,ATNE005,ATNELTYEYE,A,,,
ATNE,ATNE006,ANNANGARA,A,,,
AUBA,AUBA001,ALBANY,P,,,
AURU,AURU001,AURUKUN,P,,,
AUTI,AUTI001,UTILY,P,,,
AUTI,AUTI002,UTILI,A,,,
AUTI,AUTI003,AUTILLY,A,,,
AUTI,AUTI004,AUTILY,A,,,
AWUM,AWUM001,AWUMBUNYJI,P,,,
AYNW,AYNW001,ATNWENGERRPE,P,,,
AYNW,AYNW002,AMMAROO,A,,,
AYNW,AYNW003,QUART POTS,A,,,
AYNW,AYNW004,QUART POT,A,,,
AYNW,AYNW005,ATNWENGERRP,A,,,
AYNW,AYNW006,ATNUNGURRPA,A,,,
AYTO,AYTO001,AYTON,P,,,
AYTO,AYTO002,JAJIKAL,A,,,
BAAN,BAAN001,BARANGYA,P,,,
