"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"CtG11A.1","2030-31","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Trajectory","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","19.8"
"CtG11A.1","2030-31","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","15.4","-5.2","50.5","1.8","5.1","7.0","42.3","65.1","24.6"
"CtG11A.1","2030-31","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","95%CI","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","3.3","9.5","29.3","25.3","16.6","1.5","51.8","48.0","2.9"
"CtG11A.1","2029-30","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Trajectory","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","20.5"
"CtG11A.1","2029-30","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","15.4","-3.6","48.9","5.6","6.6","7.0","40.3","61.6","24.6"
"CtG11A.1","2029-30","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","95%CI","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","3.3","8.5","26.3","22.8","14.9","1.5","46.5","43.1","2.9"
"CtG11A.1","2028-29","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Trajectory","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","21.2"
"CtG11A.1","2028-29","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","15.4","-2.0","47.4","9.3","8.1","7.0","38.3","58.2","24.6"
"CtG11A.1","2028-29","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Linear regression estimates","Aboriginal and Torres Strait Islander young people","","10-17 years old","","95%CI","AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate (±)","3.3","7.6","23.3","20.2","13.2","1.5","41.3","38.3","2.9"
"CtG11A.1","2027-28","Rate of young people in detention","10-17 years old","All people","Aboriginal and Torres Strait Islander people","Young people in detention on an average day","Rate per 10000 young people","Trajectory","Aboriginal and Torres Strait Islander young people","","10-17 years old","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS Estimates and Projections Aboriginal and Torres Strait Islander Australians","rate","..","..","..","..","..","..","..","..","21.9"
