"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Service_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"17A.1","2024-25","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","184","74","290","74","38","14","17","42","734"
"17A.1","2024-25","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Average daily number of young people","Community-based supervision","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","739","229","860","368","169","96","47","na","2509"
"17A.1","2024-25","Under supervision","10-17 years old","All people","All people","All areas","","","","Average daily number of young people","Total","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","918","300","1142","438","205","110","64","na","3177"
"17A.1","2024-25","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","2.2","1.1","5.0","2.5","2.1","2.6","5.0","15.4","2.7"
"17A.1","2024-25","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","8.9","3.4","14.8","12.3","9.5","17.8","14.0","na","9.4"
"17A.1","2024-25","Under supervision","10-17 years old","All people","All people","All areas","","","","Rate (per 10000 young people)","Total","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","11.0","4.5","19.6","14.6","11.5","20.4","18.8","na","11.9"
"17A.1","2023-24","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","176","54","293","85","31","16","13","44","711"
"17A.1","2023-24","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Average daily number of young people","Community-based supervision","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","723","217","896","429","215","79","54","na","2613"
"17A.1","2023-24","Under supervision","10-17 years old","All people","All people","All areas","","","","Average daily number of young people","Total","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","894","268","1181","511","243","94","67","na","3257"
"17A.1","2023-24","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Rate (per 10000 young people)","Detention","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","2.1","0.8","5.1","2.9","1.7","2.9","3.9","21.9","2.7"
"17A.1","2023-24","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Rate (per 10000 young people)","Community-based supervision","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","8.8","3.3","15.5","14.6","12.2","14.5","16.6","na","9.9"
"17A.1","2023-24","Under supervision","10-17 years old","All people","All people","All areas","","","","Rate (per 10000 young people)","Total","","","","Derived from AIHW (unpublished) Youth Justice National Minimum Dataset; ABS National state and territory population - December","rate","10.9","4.1","20.5","17.3","13.8","17.3","20.3","na","12.4"
"17A.1","2022-23","Under supervision","10-17 years old","All people","All people","All areas","Detention-based supervision","","","Average daily number of young people","Detention","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","160","72","286","86","31","13","14","52","713"
"17A.1","2022-23","Under supervision","10-17 years old","All people","All people","All areas","Community-based supervision","","","Average daily number of young people","Community-based supervision","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","736","235","887","451","185","67","41","168","2770"
"17A.1","2022-23","Under supervision","10-17 years old","All people","All people","All areas","","","","Average daily number of young people","Total","","","","AIHW (unpublished) Youth Justice National Minimum Dataset","no.","891","304","1163","532","214","79","55","217","3455"
