id,name,state,postcode,source_primary,chain,abn,parent_name
acc4ab69-d396-4dac-a7ea-adfafaa25db5,"Bacchus Marsh Salvos",VIC,3340,senvic,salvation-army,64472238844,"The Trustee for The Salvation Army (Victoria) Property Trust"
ee6c9a95-a0bf-487c-b353-2a047b7f0934,"Ballarat Red Cross",VIC,3350,senvic,red-cross,50169561394,"Australian Red Cross Society"
18adcadc-ab85-4cc4-9055-747e37d41162,"Bridge Mall Salvos",VIC,3350,senvic,salvation-army,64472238844,"The Trustee for The Salvation Army (Victoria) Property Trust"
84e6f8b5-9847-4b00-b11a-8679371c06d9,"Horsham Red Cross",VIC,3400,senvic,red-cross,50169561394,"Australian Red Cross Society"
5093699b-1b28-4652-99fd-b41ecd65ed58,"Red Cross",VIC,3104,senvic,red-cross,50169561394,"Australian Red Cross Society"
e8f50221-b76e-48f5-a042-91fa608e7911,"Sebastopol Salvos",VIC,3356,senvic,salvation-army,64472238844,"The Trustee for The Salvation Army (Victoria) Property Trust"
b5f0570d-7b7a-43d2-aab1-0b136a438059,"Vinnies Alfredton",VIC,3350,senvic,vinnies,28911702061,"St Vincent de Paul Society Victoria"
0708a067-21a5-4fa4-a834-c67e607cc17a,"Vinnies Ararat",VIC,3377,senvic,vinnies,28911702061,"St Vincent de Paul Society Victoria"
d0634425-7a29-471a-abd7-660411068609,"Vinnies Bacchus Marsh",VIC,3340,senvic,vinnies,28911702061,"St Vincent de Paul Society Victoria"
a663dff0-926e-4152-9bba-06a59765e947,"Vinnies Ballarat",VIC,3350,senvic,vinnies,28911702061,"St Vincent de Paul Society Victoria"
0660be02-b3db-49a8-be65-ee76c580b4e6,"Vinnies Daylesford",VIC,3460,senvic,vinnies,28911702061,"St Vincent de Paul Society Victoria"
4be0bac8-f44d-4ecb-bb46-b6103108f74f,"Vinnies Horsham",VIC,3400,senvic,vinnies,28911702061,"St Vincent de Paul Society Victoria"
d9f74d9f-bc68-43a1-ba5d-e6e590b5e0bb,"Vinnies Sebastopol",VIC,3356,senvic,vinnies,28911702061,"St Vincent de Paul Society Victoria"
25d6435e-e90f-4ec4-b64e-ed43732c9545,"Vinnies Wendouree",VIC,3355,senvic,vinnies,28911702061,"St Vincent de Paul Society Victoria"
749cd7ee-845b-4c1e-b15e-5db349b6d268,"Wendouree Salvos",VIC,3355,senvic,salvation-army,64472238844,"The Trustee for The Salvation Army (Victoria) Property Trust"
6c92ec9d-8e09-480e-b7cf-b96b327274da,"Animal Welfare League",SA,5118,sacommunity-classified,animal-welfare-league,11397137539,"Animal Welfare League Of South Australia Inc"
96d1e82e-f56f-4480-83e6-29767dd9c517,"Arthur's Bazaar Opportunity Shop",SA,5333,sacommunity-classified,loxcare,16020107180,"Loxcare Incorporated"
