Dongara Community Resource Centre Inc.	18500	2026	AU-ABN-60992399356	reported
St. Bartholomew's House Inc	4500000	2026	AU-ABN-92491228162	inferred
St Patrick's Community Support Centre Limited	2220291	2026	AU-ABN-74116106275	reported
WA Parks Foundation	50069	2026	AU-ABN-96615298952	reported
Otitis Media Group Inc	418759	2026	AU-ABN-55194791400	inferred
Lions Club of Margaret River Incorporated	7900	2026	AU-ABN-29273772471	inferred
Indigenous Art Code Limited	71516	2026	AU-ABN-67139788711	reported
Kadadjiny Aboriginal Corporation	140721	2026	AU-ABN-73933576507	reported
Bidyadanga Aboriginal Community La Grange Incorporated	60363	2026	AU-ABN-91283538282	inferred
Gorenang Moortabiin Aboriginal Engagement and Community Development (Aboriginal Corporation)	24550	2026	AU-ABN-65109482389	reported
Brabham Gujarati Community Club (BGCC) Inc.	6000	2026	AU-ABN-99428234957	inferred
Foundation for Indigenous Sustainable Health Limited	269750	2026	AU-ABN-89141884684	reported
Kingz Multicultural Club Inc.	7000	2026	AU-ABN-32499430482	inferred
WestAus Crisis and Welfare Services Inc	55000	2026	AU-ABN-18265147892	reported
Chapman Valley Agricultural Society Incorporated	12000	2026	AU-ABN-65602401982	inferred
Lions Club of Serpentine-Jarrahdale	15000	2026	AU-ABN-75690424922	inferred
Possum Valley Animal Sanctuary Inc	39125	2026	AU-ABN-51455206392	inferred
Cuby GrooveFest Inc.	14475	2026	AU-ABN-58185468453	inferred
Uniting Church in Australia Property Trust (WA) - Uniting Outreach Mandurah	90000	2026	AU-ABN-93351192498	inferred
Brunswick Agricultural Society Incorporated	20000	2026	AU-ABN-51207857048	reported
Mundaring Arts Centre Inc	25000	2026	AU-ABN-24780601011	reported
Rural Regional Remote Women's Network of Western Australia Inc	59000	2026	AU-ABN-42246101482	inferred
West Australian Men's Gathering Inc.	5000	2026	AU-ABN-48133122007	inferred
Day in the Forrest Inc.	8000	2026	AU-ABN-37755353115	inferred
Palliative Care W.A. Incorporated	30950	2026	AU-ABN-13107780017	inferred
Advocare Incorporated	70000	2026	AU-ABN-64497727390	reported
Meerilinga Children and Community Foundation Incorporated	75000	2026	AU-ABN-60366468001	reported
City of Greater Geraldton	80000	2026	AU-ABN-55907677173	reported
Tongan WA Incorporated	10000	2026	AU-ABN-34592378801	reported
Nintirri Centre (Incorporated)	64196	2026	AU-ABN-59634306630	inferred
Australian Arab Association Incorporated	75000	2026	AU-ABN-47039302840	reported
Dardanup Bull and Barrel Festival Incorporated	14800	2026	AU-ABN-47498304098	inferred
Non-Resident Nepali Association Australia Limited	15000	2026	AU-ABN-26633352226	inferred
Geraldton Greenough Sunshine Festival (Inc.)	15000	2026	AU-ABN-54637085749	inferred
Seniors' Recreation Council of WA (Inc)	41500	2026	AU-ABN-56858017854	inferred
Dandelions WA Inc.	27426	2026	AU-ABN-62464700830	inferred
North Yunderup Community Association Inc	6021	2026	AU-ABN-11782218748	inferred
Geographe French Australian Festivals Incorporated	65000	2026	AU-ABN-17752810241	reported
Kimberley Aboriginal Women's Council Aboriginal Corporation	100000	2026	AU-ABN-36409879880	reported
Murdoch University	733656	2026	AU-ABN-61616369313	reported
Sister Kates Home Kids Aboriginal Corporation	39690	2026	AU-ABN-69226592979	reported
Ruah Community Services Limited	256379	2026	AU-ABN-98065827787	reported
Track Care WA Inc	15000	2026	AU-ABN-21650188750	reported
Creative Bytes Inc.	45126	2026	AU-ABN-75471480809	reported
Broome Lotteries House Incorporated	101978	2026	AU-ABN-72734458797	inferred
Yamatji Marlpa Aboriginal Corporation	1458300	2026	AU-ABN-14011921883	reported
Befriend Inc	292905	2026	AU-ABN-36314845868	inferred
Paint the Town REaD Ltd	8500	2026	AU-ABN-96164664724	reported
Dumbleyung Community Resource Centre Inc	12942	2026	AU-ABN-35488032451	inferred
Word Play Festival Inc.	19350	2026	AU-ABN-52931195542	inferred
Coastal Community Garden Inc.	3335	2026	AU-ABN-85650286734	inferred
Western Australian AIDS Council (Inc.)	12000	2026	AU-ABN-66376801057	inferred
Artrage Inc	7500000	2026	AU-ABN-90649491963	reported
Blackwood Youth Action Inc.	370047	2026	AU-ABN-35436061290	inferred
Anglicare WA Inc	1300000	2026	AU-ABN-32797454970	inferred
Rainbow Futures WA Limited	100000	2026	AU-ABN-95677626407	reported
Shelter WA Inc	172317	2026	AU-ABN-43436576540	reported
Mandurah Plein Air Artists Incorporated	10000	2026	AU-ABN-50305364098	reported
Royal Agricultural Society of Western Australia	950000	2026	AU-ABN-91661481302	inferred
Arthritis Foundation of W.A. Incorporated	57950	2026	AU-ABN-43390598024	inferred
Australia's South West Incorporated	10000	2026	AU-ABN-34609814029	reported
UnitingCare West	1105000	2026	AU-ABN-75467729203	reported
Koya Aboriginal Corporation	500000	2026	AU-ABN-85995115307	reported
West Australian Stolen Generations Aboriginal Corporation	200000	2026	AU-ABN-92791516730	reported
Denmark Community Resource Centre Inc	23737	2026	AU-ABN-37464298309	reported
Marra Worra Worra Aboriginal Corporation	266265	2026	AU-ABN-97272775547	reported
Future Living Trust Incorporated	40468	2026	AU-ABN-62492609487	reported
Redgum Justice Incorporated	204477	2026	AU-ABN-78154699030	reported
West Australian Music Industry Association Limited	102665	2026	AU-ABN-19395503276	reported
Trustee for Channel Seven Telethon Trust	250000	2026	AU-ABN-65069482829	inferred
Superfins WA Incorporated	28800	2026	AU-ABN-37348710488	reported
Aboriginal Legal Service of Western Australia Limited	313000	2026	AU-ABN-61532930441	reported
