recipient_name,programme,amount,table,agency
Aboriginal Corporation of Tasmania Legal Services,1.3 - Safety and Wellbeing,131942.50,new_grants,NIAA
Aboriginal Drug and Alcohol Council (SA) Aboriginal Corporation,1.3 - Safety and Wellbeing,70000.00,new_grants,NIAA
Aboriginal Drug and Alcohol Council (SA) Aboriginal Corporation,1.3 - Safety and Wellbeing,300000.00,new_grants,NIAA
Aboriginal Drug and Alcohol Council (SA) Aboriginal Corporation,1.3 - Safety and Wellbeing,70000.00,new_grants,NIAA
Aboriginal Drug and Alcohol Council (SA) Aboriginal Corporation,1.3 - Safety and Wellbeing,42172.00,new_grants,NIAA
Aboriginal Drug and Alcohol Council (SA) Aboriginal Corporation,1.3 - Safety and Wellbeing,300000.00,new_grants,NIAA
Aboriginal Housing Northern Territory (AHNT) Aboriginal Corporation,1.5 - Remote Australia Strategies,1000000.00,new_grants,NIAA
Alice Springs Youth Accommodation & Support Services Inc.,1.2 - Children and Schooling,1199433.00,new_grants,NIAA
Artback NT Incorporated,1.4 - Culture and Capability,100000.00,new_grants,NIAA
Atyenhenge-Atherre Aboriginal Corporation,1.3 - Safety and Wellbeing,103400.00,new_grants,NIAA
Batchelor Institute of Indigenous Tertiary Education,1.2 - Children and Schooling,5100567.00,new_grants,NIAA
Batemans Bay Local Aboriginal Land Council,1.4 - Culture and Capability,81000.00,new_grants,NIAA
Bin Bindi Pty Ltd,1.5 - Remote Australia Strategies,574000.00,new_grants,NIAA
Bowraville Local Aboriginal Lands Council,1.4 - Culture and Capability,25000.00,new_grants,NIAA
Broome Youth and Families Hub Incorporated,1.2 - Children and Schooling,978121.98,new_grants,NIAA
Brumby Plains Aboriginal Corporation,1.1 - Jobs Land and the Economy,1211183.64,new_grants,NIAA
Bulgarr Ngaru Medical Aboriginal Corporation,1.3 - Safety and Wellbeing,38803.00,new_grants,NIAA
Caaps Aboriginal Corporation,1.3 - Safety and Wellbeing,300000.00,new_grants,NIAA
Cape York Land Council Aboriginal Corporation,1.1 - Jobs Land and the Economy,3611543.00,new_grants,NIAA
Central Desert Native Title Services Limited,1.1 - Jobs Land and the Economy,1226120.00,new_grants,NIAA
Central Queensland Indigenous Development Limited,1.3 - Safety and Wellbeing,300000.00,new_grants,NIAA
Corporation of the City of Port Augusta,1.3 - Safety and Wellbeing,48072.00,new_grants,NIAA
Corporation of the City of Port Augusta,1.3 - Safety and Wellbeing,48072.00,new_grants,NIAA
Department of Planning Housing and Infrastructure,1.5 - Remote Australia Strategies,77000.00,new_grants,NIAA
Dhauwurd-Wurrung Portland & District Aboriginal Elderly Citizens Inc,1.3 - Safety and Wellbeing,70000.00,new_grants,NIAA
Dhina Durriti Aboriginal Corporation,1.4 - Culture and Capability,30000.00,new_grants,NIAA
Drug and Alcohol Services Australia Ltd,1.3 - Safety and Wellbeing,24106.00,new_grants,NIAA
Drug and Alcohol Services Australia Ltd,1.3 - Safety and Wellbeing,298800.00,new_grants,NIAA
Eden Local Aboriginal Land Council,1.4 - Culture and Capability,35000.00,new_grants,NIAA
Edmund Rice Education Australia Flexible Schools Ltd,1.2 - Children and Schooling,320742.00,new_grants,NIAA
Education Pathways Indigenous Corporation,1.2 - Children and Schooling,690000.00,new_grants,NIAA
Empowered Communities Limited,1.4 - Culture and Capability,1150000.00,new_grants,NIAA
Escare Inc,1.3 - Safety and Wellbeing,25000.00,new_grants,NIAA
First Nations Advocates Against Family Violence Limited,1.3 - Safety and Wellbeing,180000.00,new_grants,NIAA
Foundation of Rehabilitation With Aboriginal Alcohol Related Difficulties Aboriginal Corporation,1.3 - Safety and Wellbeing,282000.00,new_grants,NIAA
Gadigal Information Service Aboriginal Corporation,1.4 - Culture and Capability,20000.00,new_grants,NIAA
Gindaja Treatment and Healing Indigenous Corporation,1.3 - Safety and Wellbeing,274000.00,new_grants,NIAA
Gumbi-Gumbi Aboriginal and Torres Strait Islanders Corporation,1.3 - Safety and Wellbeing,70000.00,new_grants,NIAA
Gumbi-Gumbi Aboriginal and Torres Strait Islanders Corporation,1.3 - Safety and Wellbeing,300000.00,new_grants,NIAA
Gunditj Mirring Traditional Owners Aboriginal Corporation RNTBC,1.1 - Jobs Land and the Economy,413696.16,new_grants,NIAA
Guyra Local Aboriginal Land Council,1.1 - Jobs Land and the Economy,1594675.00,new_grants,NIAA
Her Story Consulting Pty Ltd,1.3 - Safety and Wellbeing,220000.00,new_grants,NIAA
Illawarra Aboriginal Medical Service Aboriginal Corporation,1.3 - Safety and Wellbeing,70000.00,new_grants,NIAA
Imparja Television Pty. Ltd.,1.4 - Culture and Capability,50000.00,new_grants,NIAA
Indigenous Carbon Industry Network Ltd,1.1 - Jobs Land and the Economy,25000.00,new_grants,NIAA
Joombarn-Buru Aboriginal Corporation RNTBC,1.1 - Jobs Land and the Economy,555000.00,new_grants,NIAA
Katungul Aboriginal Corporation Regional Health and Community Services,1.3 - Safety and Wellbeing,70000.00,new_grants,NIAA
Kimberley Language Resource Centre (Aboriginal Corporation),1.4 - Culture and Capability,20000.00,new_grants,NIAA
Lives Lived Well Limited,1.3 - Safety and Wellbeing,262665.00,new_grants,NIAA
Lives Lived Well Limited,1.3 - Safety and Wellbeing,70000.00,new_grants,NIAA
