"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","CS_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Total operating expenditure","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1533645","1050837","1062102","830932","290811","135991","87810","226020","5218150"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Operating revenues","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","94642","31763","18589","29036","11510","3627","0","12904","202071"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Net operating expenditure","Open","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","319115","99770","51876","148174","19384","3275","622","na","642216"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Net operating expenditure","Secure","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1119889","919303","991637","653723","259917","129089","87188","na","4160747"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Net operating expenditure","Total","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","1439004","1019073","1043514","801896","279302","132364","87810","213116","5016079"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","User cost of capital","Land","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","23144","16708","16084","6503","15807","381","655","264","79545"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","User cost of capital","Other assets","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","403010","157041","212656","126347","64658","24651","14504","7427","1010294"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","Debt servicing fees","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","23310","58642","0","19137","..","..","0","47270","148359"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","Depreciation","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","205165","119553","154377","43041","32137","10512","11347","14752","590883"
"8A.1","2023-24","Real recurrent expenditure","Adults","All people","All people","Prison","2023-24 dollars","Real recurrent expenditure","Prisons","Capital costs; all prisons","Total capital costs","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$'000","654629","351944","383117","195027","112601","35544","26506","69713","1829082"
