"Table_Number","Year","Measure","Indigenous_Status","Law_Enforced","Court_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust cts","Aust"
"7A.1","2023-24","Lodgments","All people","Criminal","All criminal courts","","Lodgments; criminal","","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished)","no.","210437","148467","188850","94981","39445","17703","7431","13021","","720335"
"7A.1","2023-24","Lodgments","All people","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","312","301","303","211","194","20","69","22","","1432"
"7A.1","2023-24","Lodgments","All people","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","57","115","1604","42","47","742","360","665","","3632"
"7A.1","2023-24","Lodgments","All people","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Total","","Derived from State and territory court authorities and departments (unpublished)","no.","369","416","1907","253","241","762","429","687","","5064"
"7A.1","2023-24","Lodgments","All people","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","6695","1612","265","..","..","..","..","..","","8572"
"7A.1","2023-24","Lodgments","All people","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","3231","2081","6659","2763","1540","..","..","..","","16274"
"7A.1","2023-24","Lodgments","All people","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Total","","Derived from State and territory court authorities and departments (unpublished)","no.","9926","3693","6924","2763","1540","..","..","..","","24846"
"7A.1","2023-24","Lodgments","All people","Criminal","Magistrates' (excl. children's)","","Lodgments; criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished)","no.","191662","132848","163197","85321","34485","15109","6428","10718","","639768"
"7A.1","2023-24","Lodgments","All people","Criminal","Children's","","Lodgments; criminal","","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished)","no.","8480","11510","16822","6644","3179","1832","574","1616","","50657"
"7A.1","2023-24","Lodgments","All people","Criminal","Magistrates' (total)","","Lodgments; criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished)","no.","200142","144358","180019","91965","37664","16941","7002","12334","","690425"
"7A.1","2022-23","Lodgments","All people","Criminal","All criminal courts","","Lodgments; criminal","","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished)","no.","211717","154401","194326","87779","40854","16614","7573","13048","","726312"
"7A.1","2022-23","Lodgments","All people","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","339","275","274","239","162","19","66","13","","1387"
"7A.1","2022-23","Lodgments","All people","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","70","84","1903","55","77","612","341","720","","3862"
"7A.1","2022-23","Lodgments","All people","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Total","","Derived from State and territory court authorities and departments (unpublished)","no.","409","359","2177","294","239","631","407","733","","5249"
"7A.1","2022-23","Lodgments","All people","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","7109","1550","291","..","..","..","..","..","","8950"
"7A.1","2022-23","Lodgments","All people","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","3170","2356","6811","2558","1494","..","..","..","","16389"
"7A.1","2022-23","Lodgments","All people","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Total","","Derived from State and territory court authorities and departments (unpublished)","no.","10279","3906","7102","2558","1494","..","..","..","","25339"
"7A.1","2022-23","Lodgments","All people","Criminal","Magistrates' (excl. children's)","","Lodgments; criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished)","no.","192635","139306","167701","77811","36043","14436","6626","10489","","645047"
"7A.1","2022-23","Lodgments","All people","Criminal","Children's","","Lodgments; criminal","","Magistrates' courts","Children's courts","","","Derived from State and territory court authorities and departments (unpublished)","no.","8394","10830","17346","7116","3078","1547","540","1826","","50677"
"7A.1","2022-23","Lodgments","All people","Criminal","Magistrates' (total)","","Lodgments; criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","","","Derived from State and territory court authorities and departments (unpublished)","no.","201029","150136","185047","84927","39121","15983","7166","12315","","695724"
"7A.1","2021-22","Lodgments","All people","Criminal","All criminal courts","","Lodgments; criminal","","All criminal courts","","","","Derived from State and territory court authorities and departments (unpublished)","no.","201595","135542","182000","75649","40753","15904","9035","12072","","672550"
"7A.1","2021-22","Lodgments","All people","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","375","241","312","265","208","23","62","13","","1499"
"7A.1","2021-22","Lodgments","All people","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","77","110","2201","53","68","449","308","643","","3909"
"7A.1","2021-22","Lodgments","All people","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Total","","Derived from State and territory court authorities and departments (unpublished)","no.","452","351","2513","318","276","472","370","656","","5408"
"7A.1","2021-22","Lodgments","All people","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","5419","1358","299","..","..","..","..","..","","7076"
"7A.1","2021-22","Lodgments","All people","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","3293","2375","7349","2513","1702","..","..","..","","17232"
