"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Description7","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust"
"6A.1","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","2024-25 dollars","Police services expenditure","Recurrent expenditure","Salaries","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","3744.7","3129.0","2452.2","1348.8","809.7","257.1","157.7","331.6","12230.8"
"6A.1","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","2024-25 dollars","Police services expenditure","Recurrent expenditure","Superannuation","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","380.0","325.3","358.8","134.9","93.3","35.8","22.6","34.2","1385.0"
"6A.1","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","2024-25 dollars","Police services expenditure","Recurrent expenditure","Payroll tax","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","158.5","214.0","0","77.2","41.6","0","0","18.6","509.8"
"6A.1","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","2024-25 dollars","Police services expenditure","Recurrent expenditure","Total salaries and payments","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","4283.2","3668.3","2811.0","1560.9","944.6","293.0","180.3","384.4","14125.6"
"6A.1","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","2024-25 dollars","Police services expenditure","Recurrent expenditure","Other recurrent expenditure","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","938.9","671.9","656.0","473.8","223.0","146.7","57.5","112.1","3279.8"
"6A.1","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","2024-25 dollars","Police services expenditure","Recurrent expenditure","Depreciation","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","264.4","270.2","129.6","149.4","52.5","50.6","9.9","33.1","959.7"
"6A.1","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","2024-25 dollars","Police services expenditure","Recurrent expenditure","Total recurrent expenditure","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","5486.5","4610.3","3596.5","2184.2","1220.1","490.2","247.7","529.7","18365.2"
"6A.1","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","2024-25 dollars","Police services expenditure","Net recurrent expenditure","Revenue from own sources (ROS)","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","175.6","41.6","217.5","57.3","130.8","73.2","2.1","32.9","731.0"
"6A.1","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","2024-25 dollars","Police services expenditure","Net recurrent expenditure","Total recurrent expenditure less ROS and payroll tax","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","5152.3","4354.8","3379.1","2049.8","1047.7","417.0","245.6","478.2","17124.4"
"6A.1","2024-25","Recurrent expenditure","All ages","All people","All people","All areas","2024-25 dollars","Police services expenditure","Capital expenditure","User cost of capital","","","","","","Derived from State and territory governments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","163.2","224.1","150.2","104.1","42.7","19.7","6.4","31.0","741.5"
