supplier_profile_id,account_id,name,certified,indigenous_marketplace,services_all_australia,states,annual_revenue,employees,ownership_structure,services
a1GOd000006yvPlMAI,001Od00000Hown6IAB,THREE BADOWER ROAD PTY LTD,Registered,No,No,"NSW, NT, QLD",$500K to $1M,2,Corporation (Pty Ltd),Construction operations; Construction operations; Engineering consulting services; Engineering project management; Management consulting & consultants; Project management; Construction operations; Construction operations; Engineering consulting services; Engineering project management; Management consulting & consultants; Project management; Construction operations; Engineering consulting services; Engineering project management; Management consulting & consultants; Project management; Construction operations; Construction operations; Engineering consulting services; Engineering project management; Management consulting & consultants; Project management
a1G2t000002TCgiEAG,0012t00000BSEMSAA5,NEXX Indigenous Services (Indigenous Corporation),Registered,No,No,"ACT, NSW",$500K to $1M,5,Aboriginal Corporation (Registered with ORIC),Interior design; Building maintenance & services; Commercial cleaning; Office furniture & fit out; Office furniture; Interior design; Building maintenance & services; Commercial cleaning; Office furniture & fit out; Office furniture
a1GOd000002I0MzMAK,001Od000002q6oIIAQ,INDIGENOUS MEDIA NT PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Corporation (Pty Ltd),Advertising agency services; Website; Market research services; Marketing services; Social media; Advertising agency services; Website; Market research services; Marketing services; Social media; Advertising agency services; Website; Market research services; Marketing services; Social media; Advertising agency services; Website; Market research services; Marketing services; Social media
a1GOd0000075MQTMA2,001Od00000eADmdIAG,WhichWay Indigenous Corporation,Registered,No,No,"NSW, NT, QLD, WA",$50K to $500K,0,Aboriginal Corporation (Registered with ORIC),Employment & workplace programs; Governance training; Training & development; Administration services; Employment & workplace programs; Governance training; Training & development; Administration services; Employment & workplace programs; Governance training; Training & development; Administration services
a1G7F000000SllQUAS,0017F00000iviJiQAI,Ethan Indigenous,Certified,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,4,Incorporated Joint Venture,Cloud services; Computer hardware; Computer software; IT & ICT services; Telecommunication services; Cloud services; Computer hardware; Computer software; IT & ICT services; Telecommunication services; Cloud services; Computer hardware; Computer software; IT & ICT services; Telecommunication services
a1GOd00000751XJMAY,001Od00000e7XTLIA2,Passi Indigenous Consultancy,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Sole Trader,Cultural awareness training; Mentoring and coaching; Public speaking; Training delivery & facilitation; Cultural awareness training; Mentoring and coaching; Public speaking; Training delivery & facilitation; Cultural awareness training; Mentoring and coaching; Public speaking; Training delivery & facilitation
a1G8w0000005s0UEAQ,0018w000004hbmDAAQ,BUILDING INDIGENOUS AUSTRALIA PTY LTD.,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,6,Corporation (Pty Ltd),Carpentry & joinery services; Concreting; Facilities management services; Landscaping; Building maintenance & services; Carpentry & joinery services; Concreting; Facilities management services; Landscaping; Carpentry & joinery services; Concreting; Facilities management services; Landscaping; Building maintenance & services; Carpentry & joinery services; Concreting; Facilities management services; Landscaping; Carpentry & joinery services; Concreting; Facilities management services; Landscaping; Building maintenance & services; Carpentry & joinery services; Concreting; Facilities management services; Landscaping
a1GOd000005LbT7MAK,001Od00000MV13BIAT,MTP INDIGENOUS PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$0 to $50K,2,Incorporated Joint Venture,Software development & support & maintenance services; Indigenous labour hire; Labour hire; Recruitment; Software development & support & maintenance services; Indigenous labour hire; Labour hire; Recruitment; Software development & support & maintenance services; Indigenous labour hire; Labour hire; Recruitment
a1G7F0000002GafUAE,0017F00000ivcZtQAI,Arrilla Indigenous Consulting Pty Ltd,Certified,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$1M to $5M,8,Corporation (Pty Ltd),Cultural awareness training; Leadership development & coaching; RAP implementation and assistance; Training & development; Training delivery & facilitation; Cultural awareness training; Leadership development & coaching; RAP implementation and assistance; Training & development; Training delivery & facilitation; Cultural awareness training; Leadership development & coaching; RAP implementation and assistance; Training & development; Training delivery & facilitation
a1GOd000006llMbMAI,001Od00000eviq6IAA,INDIGENOUS CORE AUSTRALIA PTY LTD,Registered,No,No,NSW,$0 to $50K,2,Corporation (Pty Ltd),Indigenous labour hire; Indigenous labour hire
a1GOd000004BvThMAK,001Od00000Q2BejIAF,IPATSA PTY LTD Indigenous Pathways & Training Solutions Australia,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$0 to $50K,3,Corporation (Pty Ltd),Building construction materials & services; Commercial or industrial construction; Building construction materials & services; Commercial or industrial construction; General construction; Training delivery & facilitation; Vocational education & training; Building construction materials & services; Commercial or industrial construction; Building construction materials & services; Commercial or industrial construction; General construction; Training delivery & facilitation; Vocational education & training; Building construction materials & services; Commercial or industrial construction; General construction; Training delivery & facilitation; Vocational education & training; Building construction materials & services; Commercial or industrial construction; Building construction materials & services; Commercial or industrial construction; General construction; Training delivery & facilitation; Vocational education & training
a1G7F000000SlimUAC,0017F00000ivcIjQAI,Indigenous Professional Services Pty Ltd,Certified,Yes,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",Over $10M,53,Corporation (Pty Ltd),Employment & workplace programs; Indigenous & Aboriginal support services & programs; Business & strategic planning services; Leadership development & coaching; Training delivery & facilitation; Employment & workplace programs; Indigenous & Aboriginal support services & programs; Business & strategic planning services; Leadership development & coaching; Training delivery & facilitation; Employment & workplace programs; Indigenous & Aboriginal support services & programs; Business & strategic planning services; Leadership development & coaching; Training delivery & facilitation; Employment & workplace programs; Indigenous & Aboriginal support services & programs; Business & strategic planning services; Leadership development & coaching; Training delivery & facilitation; Employment & workplace programs; Indigenous & Aboriginal support services & programs; Business & strategic planning services; Leadership development & coaching; Training delivery & facilitation
a1GOd000006YNuoMAG,001Od00000e2X7LIAU,Indigenous Business Growth Pty Ltd,Registered,No,No,"ACT, NSW, VIC, QLD",$0 to $50K,3,Corporation (Pty Ltd),Recruitment; Recruitment; Recruitment; Recruitment
a1GOd000006TQwXMAW,001Od00000Z02fBIAR,ARMSTRONG INDIGENOUS PROPERTY GROUP PTY LTD,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$50K to $500K,1,Corporation (Pty Ltd),Accommodation & homelessness support services; Accommodation furniture; Accommodation & homelessness support services; Accommodation furniture; Accommodation & homelessness support services; Accommodation furniture; Accommodation & homelessness support services; Accommodation furniture
a1GOd0000049tHVMAY,001Od00000Ph5rCIAR,INDIGENOUS VIBE KOLLECTIVE,Registered,No,Yes,"ACT, SA, NSW, TAS, NT, VIC, QLD, WA",$0 to $50K,1,Corporation (Pty Ltd),Graphic design; Branded apparel and clothing; Clothing design; Graphic design; Branded apparel and clothing; Clothing design
