relname,kind,exact_rows,bytes
abr_registry,table,20006350,6906388480
mv_abr_name_lookup,matview,9038737,1365532672
gs_relationships,table,3429184,3419766784
political_donations,table,2549483,1142480896
asic_companies,table,2167533,1073078272
asic_name_lookup,table,2149868,333307904
privacy_audit_log,table,1278440,224624640
entity_xref,table,1211744,400965632
austender_contracts,table,823620,887193600
gs_entities,table,609448,5195890688
gs_entities_lga_backup_20260808,table,609416,46186496
mv_gs_entity_stats,matview,400276,370360320
acnc_ais,table,360488,474759168
gs_entities_lga_backup_20260809b,table,358347,20488192
gs_entities_lga_backup_20260809c,table,355797,20488192
mv_charity_network,matview,351455,29212672
person_roles,table,339698,507084800
mv_person_entity_network,matview,336444,95166464
mv_person_entity_crosswalk,matview,331239,113065984
mv_person_identity_network,matview,328939,181395456
grantconnect_awards,table,291264,400408576
mv_person_identity_influence,matview,241269,106954752
mv_person_identity_influence_v2,matview,241260,67026944
mv_person_network,matview,237990,68894720
mv_person_influence,matview,237340,58482688
mv_donation_contract_timing,matview,232474,66846720
person_identities,table,230434,82198528
state_tenders,table,199719,280813568
mv_entity_power_index,matview,188139,138698752
justice_funding,table,157116,408625152
ndis_utilisation,table,143987,23945216
ndis_active_providers,table,134572,95821824
dss_payment_demographics,table,105529,33726464
organizations,table,104427,163332096
gs_entities_lga_backup_20260809,table,98660,8953856
acnc_programs,table,98381,46505984
mv_entity_total_funding,matview,94088,33447936
mv_foundation_regranting,matview,85401,34439168
mv_trustee_grantee_chain,matview,79535,21667840
community_directory_orgs,table,76151,173449216
ndis_participants,table,67353,14483456
acnc_charities,table,66023,103563264
mv_org_justice_signals,matview,66023,19881984
mv_acnc_latest,matview,63555,55787520
assertions,table,59300,37675008
crime_stats_lga,table,58125,14491648
source_frontier,table,56081,65773568
mv_foundation_trends,matview,53985,15925248
procurement_alerts,table,53223,40558592
mv_fy_donation_contracts,matview,50685,10395648
ndis_registered_providers,table,48510,75177984
research_grants,table,46378,68370432
nz_charities,table,45192,122871808
foundation_category_assignments,table,42599,24944640
mv_charity_rankings,matview,42503,49405952
money_flows,table,42468,12902400
