table_name,ordinal_position,column_name,data_type,is_nullable
_backup_entity_contacts_20260606,1,id,uuid,NO
_backup_entity_contacts_20260606,2,website,text,YES
_backup_entity_contacts_20260606,3,email,text,YES
_backup_entity_contacts_20260606,4,phone,text,YES
_backup_entity_contacts_20260606,5,contact_source,text,YES
_backup_entity_contacts_20260606,6,updated_at,timestamp with time zone,YES
abr_registry,1,abn,text,NO
abr_registry,2,entity_name,text,NO
abr_registry,3,entity_type,text,YES
abr_registry,4,entity_type_code,text,YES
abr_registry,5,status,text,NO
abr_registry,6,status_from_date,date,YES
abr_registry,7,postcode,text,YES
abr_registry,8,state,text,YES
abr_registry,9,acn,text,YES
abr_registry,10,gst_status,text,YES
abr_registry,11,gst_from_date,date,YES
abr_registry,12,acnc_registered,boolean,YES
abr_registry,13,charity_type,text,YES
abr_registry,14,trading_names,ARRAY,YES
abr_registry,15,record_updated_date,date,YES
abr_registry,16,imported_at,timestamp with time zone,YES
abs_indigenous_population_by_lga,1,id,bigint,NO
abs_indigenous_population_by_lga,2,lga_code,text,NO
abs_indigenous_population_by_lga,3,lga_name,text,YES
abs_indigenous_population_by_lga,4,state,text,YES
abs_indigenous_population_by_lga,5,reference_year,integer,NO
abs_indigenous_population_by_lga,6,source,text,NO
abs_indigenous_population_by_lga,7,age_group,text,YES
abs_indigenous_population_by_lga,8,sex,text,YES
abs_indigenous_population_by_lga,9,indigenous_status,text,NO
abs_indigenous_population_by_lga,10,count_persons,integer,YES
abs_indigenous_population_by_lga,11,dataflow_id,text,YES
abs_indigenous_population_by_lga,12,ingested_at,timestamp with time zone,YES
abs_locality_lga,1,id,uuid,NO
abs_locality_lga,2,locality,text,NO
abs_locality_lga,3,state_name,text,NO
abs_locality_lga,4,lga_code,text,NO
abs_locality_lga,5,lga_name,text,NO
abs_locality_lga,6,lga_count,integer,NO
abs_locality_lga,7,source,text,NO
abs_locality_lga,8,loaded_at,timestamp with time zone,NO
abs_poa_lga_ratio,1,poa_code,text,NO
abs_poa_lga_ratio,2,lga_code,text,NO
abs_poa_lga_ratio,3,lga_name,text,NO
abs_poa_lga_ratio,4,ratio,numeric,NO
abs_poa_lga_ratio,5,indiv_quality,text,YES
abs_poa_lga_ratio,6,overall_quality,text,YES
abs_poa_lga_ratio,7,bmos_null_flag,integer,YES
abs_poa_lga_ratio,8,source,text,YES
abs_poa_lga_ratio,9,loaded_at,timestamp with time zone,YES
abs_raw_responses,1,id,uuid,NO
abs_raw_responses,2,dataflow_id,text,NO
abs_raw_responses,3,query_key,text,NO
abs_raw_responses,4,query_url,text,YES
abs_raw_responses,5,response_jsonb,jsonb,YES
abs_raw_responses,6,fetched_at,timestamp with time zone,YES
abs_sal_lga_ratio,1,sal_code,text,NO
abs_sal_lga_ratio,2,sal_name,text,NO
abs_sal_lga_ratio,3,lga_code,text,NO
abs_sal_lga_ratio,4,lga_name,text,NO
abs_sal_lga_ratio,5,ratio,numeric,NO
abs_sal_lga_ratio,6,indiv_quality,text,YES
abs_sal_lga_ratio,7,overall_quality,text,YES
abs_sal_lga_ratio,8,bmos_null_flag,integer,YES
abs_sal_lga_ratio,9,source,text,YES
abs_sal_lga_ratio,10,loaded_at,timestamp with time zone,YES
acara_schools,1,id,uuid,NO
acara_schools,2,acara_id,text,NO
acara_schools,3,school_name,text,NO
acara_schools,4,school_type,text,YES
acara_schools,5,school_sector,text,YES
acara_schools,6,state,text,YES
acara_schools,7,postcode,text,YES
acara_schools,8,suburb,text,YES
acara_schools,9,lga_name,text,YES
acara_schools,10,latitude,double precision,YES
acara_schools,11,longitude,double precision,YES
acara_schools,12,icsea_value,integer,YES
acara_schools,13,total_enrolments,integer,YES
acara_schools,14,indigenous_pct,double precision,YES
acara_schools,15,lbote_pct,double precision,YES
acara_schools,16,sea_quarter,text,YES
acara_schools,17,year,integer,NO
acara_schools,18,created_at,timestamp with time zone,YES
acara_schools,19,updated_at,timestamp with time zone,YES
accounting_summary,1,month,date,YES
accounting_summary,2,project_code,text,YES
accounting_summary,3,category,text,YES
accounting_summary,4,transaction_count,bigint,YES
accounting_summary,5,total_amount,numeric,YES
accounting_summary,6,receipts_matched,bigint,YES
accounting_summary,7,receipts_missing,bigint,YES
accounting_summary,8,no_receipt_required,bigint,YES
accounting_summary,9,completion_pct,numeric,YES
acnc_ais,1,id,uuid,NO
acnc_ais,2,abn,text,NO
acnc_ais,3,charity_name,text,NO
acnc_ais,4,ais_year,integer,NO
acnc_ais,5,registration_status,text,YES
acnc_ais,6,charity_website,text,YES
acnc_ais,7,charity_size,text,YES
acnc_ais,8,basic_religious_charity,boolean,YES
acnc_ais,9,ais_due_date,date,YES
acnc_ais,10,date_ais_received,date,YES
acnc_ais,11,financial_report_date_received,date,YES
acnc_ais,12,conducted_activities,boolean,YES
acnc_ais,13,why_not_conducted,text,YES
acnc_ais,14,how_purposes_pursued,text,YES
acnc_ais,15,international_activities_details,text,YES
acnc_ais,16,staff_full_time,integer,YES
acnc_ais,17,staff_part_time,integer,YES
acnc_ais,18,staff_casual,integer,YES
acnc_ais,19,staff_fte,numeric,YES
acnc_ais,20,staff_volunteers,integer,YES
acnc_ais,21,cash_or_accrual,text,YES
acnc_ais,22,financial_statement_type,text,YES
acnc_ais,23,report_consolidated,boolean,YES
acnc_ais,24,report_has_modification,boolean,YES
acnc_ais,25,modification_type,text,YES
acnc_ais,26,has_related_party_transactions,boolean,YES
acnc_ais,27,fin_report_from,date,YES
acnc_ais,28,fin_report_to,date,YES
acnc_ais,29,revenue_from_government,numeric,YES
acnc_ais,30,donations_and_bequests,numeric,YES
acnc_ais,31,revenue_from_goods_services,numeric,YES
acnc_ais,32,revenue_from_investments,numeric,YES
acnc_ais,33,all_other_revenue,numeric,YES
acnc_ais,34,total_revenue,numeric,YES
acnc_ais,35,other_income,numeric,YES
acnc_ais,36,total_gross_income,numeric,YES
acnc_ais,37,employee_expenses,numeric,YES
acnc_ais,38,interest_expenses,numeric,YES
acnc_ais,39,grants_donations_au,numeric,YES
acnc_ais,40,grants_donations_intl,numeric,YES
acnc_ais,41,all_other_expenses,numeric,YES
acnc_ais,42,total_expenses,numeric,YES
acnc_ais,43,net_surplus_deficit,numeric,YES
acnc_ais,44,other_comprehensive_income,numeric,YES
acnc_ais,45,total_comprehensive_income,numeric,YES
acnc_ais,46,total_current_assets,numeric,YES
acnc_ais,47,non_current_loans_receivable,numeric,YES
acnc_ais,48,other_non_current_assets,numeric,YES
acnc_ais,49,total_non_current_assets,numeric,YES
acnc_ais,50,total_assets,numeric,YES
acnc_ais,51,total_current_liabilities,numeric,YES
acnc_ais,52,non_current_loans_payable,numeric,YES
acnc_ais,53,other_non_current_liabilities,numeric,YES
acnc_ais,54,total_non_current_liabilities,numeric,YES
acnc_ais,55,total_liabilities,numeric,YES
acnc_ais,56,net_assets_liabilities,numeric,YES
acnc_ais,57,has_key_management_personnel,boolean,YES
acnc_ais,58,num_key_management_personnel,integer,YES
acnc_ais,59,total_paid_key_management,numeric,YES
acnc_ais,60,incorporated_association,boolean,YES
acnc_ais,61,association_numbers,jsonb,YES
acnc_ais,62,fundraising_states,jsonb,YES
acnc_ais,63,fundraising_numbers,jsonb,YES
acnc_ais,64,imported_at,timestamp with time zone,YES
acnc_ais,65,data_source,text,YES
acnc_ais,66,resource_id,text,YES
acnc_ais_line_items,1,id,uuid,NO
acnc_ais_line_items,2,abn,text,NO
acnc_ais_line_items,3,report_year,smallint,NO
acnc_ais_line_items,4,line_type,text,NO
acnc_ais_line_items,5,category,text,YES
acnc_ais_line_items,6,label,text,YES
acnc_ais_line_items,7,value_dollars,numeric,YES
acnc_ais_line_items,8,value_count,integer,YES
acnc_ais_line_items,9,source_url,text,YES
acnc_ais_line_items,10,raw_payload,jsonb,YES
acnc_ais_line_items,11,created_at,timestamp with time zone,NO
acnc_charities,1,abn,text,NO
acnc_charities,2,name,text,NO
acnc_charities,3,other_names,text,YES
acnc_charities,4,charity_size,text,YES
acnc_charities,5,pbi,boolean,YES
acnc_charities,6,hpc,boolean,YES
acnc_charities,7,registration_date,date,YES
acnc_charities,8,date_established,date,YES
acnc_charities,9,number_of_responsible_persons,integer,YES
acnc_charities,10,financial_year_end,text,YES
acnc_charities,11,address_line_1,text,YES
acnc_charities,12,address_line_2,text,YES
