conname,src_table,src_cols,tgt_table,tgt_cols
procurement_shortlist_items_last_reviewed_by_fkey,procurement_shortlist_items,last_reviewed_by,users,id
procurement_shortlist_items_shortlist_id_fkey,procurement_shortlist_items,shortlist_id,procurement_shortlists,id
procurement_shortlists_approval_locked_by_fkey,procurement_shortlists,approval_locked_by,profiles,id
procurement_shortlists_approved_by_fkey,procurement_shortlists,approved_by,profiles,id
procurement_shortlists_approved_pack_export_id_fkey,procurement_shortlists,approved_pack_export_id,procurement_pack_exports,id
procurement_shortlists_approver_user_id_fkey,procurement_shortlists,approver_user_id,profiles,id
procurement_shortlists_last_pack_export_id_fkey,procurement_shortlists,last_pack_export_id,procurement_pack_exports,id
procurement_shortlists_org_profile_id_fkey,procurement_shortlists,org_profile_id,org_profiles,id
procurement_shortlists_owner_user_id_fkey,procurement_shortlists,owner_user_id,profiles,id
procurement_shortlists_reopened_by_fkey,procurement_shortlists,reopened_by,profiles,id
procurement_shortlists_requested_by_fkey,procurement_shortlists,requested_by,profiles,id
procurement_workflow_runs_org_profile_id_fkey,procurement_workflow_runs,org_profile_id,org_profiles,id
procurement_workflow_runs_shortlist_id_fkey,procurement_workflow_runs,shortlist_id,procurement_shortlists,id
procurement_workflow_runs_user_id_fkey,procurement_workflow_runs,user_id,users,id
procurement_shortlist_events_org_profile_id_fkey,procurement_shortlist_events,org_profile_id,org_profiles,id
procurement_shortlist_events_shortlist_id_fkey,procurement_shortlist_events,shortlist_id,procurement_shortlists,id
procurement_shortlist_events_shortlist_item_id_fkey,procurement_shortlist_events,shortlist_item_id,procurement_shortlist_items,id
procurement_shortlist_events_user_id_fkey,procurement_shortlist_events,user_id,users,id
procurement_shortlist_watches_org_profile_id_fkey,procurement_shortlist_watches,org_profile_id,org_profiles,id
procurement_shortlist_watches_shortlist_id_fkey,procurement_shortlist_watches,shortlist_id,procurement_shortlists,id
procurement_alerts_org_profile_id_fkey,procurement_alerts,org_profile_id,org_profiles,id
procurement_alerts_shortlist_id_fkey,procurement_alerts,shortlist_id,procurement_shortlists,id
procurement_alerts_shortlist_item_id_fkey,procurement_alerts,shortlist_item_id,procurement_shortlist_items,id
procurement_tasks_alert_id_fkey,procurement_tasks,alert_id,procurement_alerts,id
procurement_tasks_assignee_user_id_fkey,procurement_tasks,assignee_user_id,profiles,id
procurement_tasks_completed_by_fkey,procurement_tasks,completed_by,profiles,id
procurement_tasks_org_profile_id_fkey,procurement_tasks,org_profile_id,org_profiles,id
procurement_tasks_shortlist_id_fkey,procurement_tasks,shortlist_id,procurement_shortlists,id
procurement_tasks_shortlist_item_id_fkey,procurement_tasks,shortlist_item_id,procurement_shortlist_items,id
procurement_pack_exports_org_profile_id_fkey,procurement_pack_exports,org_profile_id,org_profiles,id
procurement_pack_exports_shortlist_id_fkey,procurement_pack_exports,shortlist_id,procurement_shortlists,id
procurement_pack_exports_workflow_run_id_fkey,procurement_pack_exports,workflow_run_id,procurement_workflow_runs,id
jm_external_ids_record_id_fkey,jm_external_ids,record_id,justice_matrix_cases,id
act_ask_none_owed_org_profile_id_fkey,act_ask_none_owed,org_profile_id,org_profiles,id
act_obligations_community_id_fkey,act_obligations,community_id,act_communities,id
act_obligations_org_profile_id_fkey,act_obligations,org_profile_id,org_profiles,id
justice_matrix_discovered_approved_campaign_id_fkey,justice_matrix_discovered,approved_campaign_id,justice_matrix_campaigns,id
justice_matrix_discovered_approved_case_id_fkey,justice_matrix_discovered,approved_case_id,justice_matrix_cases,id
justice_matrix_discovered_source_id_fkey,justice_matrix_discovered,source_id,justice_matrix_sources,id
crm_contact_organization_affiliations_ghl_contact_id_fkey,crm_contact_organization_affiliations,ghl_contact_id,ghl_contacts,id
crm_contact_organization_affiliations_gs_entity_id_fkey,crm_contact_organization_affiliations,gs_entity_id,gs_entities,id
crm_contact_organization_affiliations_organization_id_fkey,crm_contact_organization_affiliations,organization_id,organizations,id
crm_contact_organization_affiliations_reviewed_by_fkey,crm_contact_organization_affiliations,reviewed_by,users,id
governed_proof_runs_task_id_fkey,governed_proof_runs,task_id,governed_proof_tasks,id
governed_proof_bundle_records_bundle_id_fkey,governed_proof_bundle_records,bundle_id,governed_proof_bundles,id
governed_proof_gold_set_cases_gold_set_id_fkey,governed_proof_gold_set_cases,gold_set_id,governed_proof_gold_sets,id
pulse_reports_reviewed_by_fkey,pulse_reports,reviewed_by,users,id
person_identities_role_id_fkey,person_identities,role_id,person_roles,id
procurement_notification_outbox_alert_id_fkey,procurement_notification_outbox,alert_id,procurement_alerts,id
procurement_notification_outbox_org_profile_id_fkey,procurement_notification_outbox,org_profile_id,org_profiles,id
procurement_notification_outbox_pack_export_id_fkey,procurement_notification_outbox,pack_export_id,procurement_pack_exports,id
procurement_notification_outbox_recipient_user_id_fkey,procurement_notification_outbox,recipient_user_id,profiles,id
procurement_notification_outbox_shortlist_id_fkey,procurement_notification_outbox,shortlist_id,procurement_shortlists,id
procurement_notification_outbox_task_id_fkey,procurement_notification_outbox,task_id,procurement_tasks,id
procurement_pending_team_invites_org_profile_id_fkey,procurement_pending_team_invites,org_profile_id,org_profiles,id
procurement_notification_channels_org_profile_id_fkey,procurement_notification_channels,org_profile_id,org_profiles,id
procurement_shortlist_comments_author_user_id_fkey,procurement_shortlist_comments,author_user_id,profiles,id
procurement_shortlist_comments_org_profile_id_fkey,procurement_shortlist_comments,org_profile_id,org_profiles,id
procurement_shortlist_comments_pack_export_id_fkey,procurement_shortlist_comments,pack_export_id,procurement_pack_exports,id
procurement_shortlist_comments_shortlist_id_fkey,procurement_shortlist_comments,shortlist_id,procurement_shortlists,id
procurement_shortlist_comments_shortlist_item_id_fkey,procurement_shortlist_comments,shortlist_item_id,procurement_shortlist_items,id
procurement_webhook_receipts_channel_id_fkey,procurement_webhook_receipts,channel_id,procurement_notification_channels,id
procurement_webhook_receipts_org_profile_id_fkey,procurement_webhook_receipts,org_profile_id,org_profiles,id
act_community_links_community_id_fkey,act_community_links,community_id,act_communities,id
pulse_report_links_report_id_fkey,pulse_report_links,report_id,pulse_reports,id
page_gallery_updated_by_fkey,page_gallery,updated_by,users,id
agent_audit_log_parent_audit_id_fkey,agent_audit_log,parent_audit_id,agent_audit_log,id
organization_funding_summaries_confirmed_by_fkey,organization_funding_summaries,confirmed_by,users,id
organization_funding_summaries_organization_id_fkey,organization_funding_summaries,organization_id,organizations,id
organization_funding_summaries_withdrawn_by_fkey,organization_funding_summaries,withdrawn_by,users,id
qld_watchhouse_snapshot_rows_snapshot_id_fkey,qld_watchhouse_snapshot_rows,snapshot_id,qld_watchhouse_snapshots,id
act_people_org_profile_id_fkey,act_people,org_profile_id,org_profiles,id
idea_board_pipeline_link_id_fkey,idea_board,pipeline_link_id,relationship_pipeline,id
wiki_pages_org_profile_id_fkey,wiki_pages,org_profile_id,org_profiles,id
wiki_pages_parent_method_id_fkey,wiki_pages,parent_method_id,wiki_pages,id
wiki_pages_parent_practice_id_fkey,wiki_pages,parent_practice_id,wiki_pages,id
wiki_pages_parent_principle_id_fkey,wiki_pages,parent_principle_id,wiki_pages,id
wiki_pages_updated_by_fkey,wiki_pages,updated_by,users,id
wiki_pages_verified_by_fkey,wiki_pages,verified_by,users,id
vic_grants_awarded_gs_entity_id_fkey,vic_grants_awarded,gs_entity_id,gs_entities,id
agent_task_queue_assigned_agent_fkey,agent_task_queue,assigned_agent,agents,id
agent_task_queue_conversation_id_fkey,agent_task_queue,conversation_id,alma_conversations,id
jr_site_research_jr_site_id_fkey,jr_site_research,jr_site_id,jr_sites,id
jr_site_research_updated_by_fkey,jr_site_research,updated_by,users,id
act_grant_recommendation_decisions_decided_by_fkey,act_grant_recommendation_decisions,decided_by,users,id
act_grant_recommendation_decisions_grant_opportunity_id_fkey,act_grant_recommendation_decisions,grant_opportunity_id,grant_opportunities,id
act_grant_recommendation_decisions_opportunity_id_fkey,act_grant_recommendation_decisions,opportunity_id,alma_funding_opportunities,id
project_funding_profiles_org_profile_id_fkey,project_funding_profiles,org_profile_id,org_profiles,id
project_funding_profiles_org_project_id_fkey,project_funding_profiles,org_project_id,org_projects,id
agent_tasks_run_id_fkey,agent_tasks,run_id,agent_runs,id
ai_discoveries_storyteller_id_fkey,ai_discoveries,storyteller_id,storytellers,id
ai_discoveries_transcript_id_fkey,ai_discoveries,transcript_id,transcripts,id
agentic_tasks_project_id_fkey,agentic_tasks,project_id,agentic_projects,id
funder_context_snapshot_foundation_id_fkey,funder_context_snapshot,foundation_id,foundations,id
name_aliases_canonical_entity_id_fkey,name_aliases,canonical_entity_id,gs_entities,id
alma_interventions_gs_entity_id_fkey,alma_interventions,gs_entity_id,gs_entities,id
alma_interventions_linked_community_program_id_fkey,alma_interventions,linked_community_program_id,registered_services,id
alma_interventions_linked_service_id_fkey,alma_interventions,linked_service_id,services,id
alma_interventions_operating_organization_id_fkey,alma_interventions,operating_organization_id,organizations,id
alma_interventions_reviewed_by_fkey,alma_interventions,reviewed_by,users,id
alma_media_articles_job_id_fkey,alma_media_articles,job_id,alma_ingestion_jobs,id
organizations_merged_into_fkey,organizations,merged_into,organizations,id
goods_supply_routes_community_id_fkey,goods_supply_routes,community_id,goods_communities,id
goods_procurement_entities_community_id_fkey,goods_procurement_entities,community_id,goods_communities,id
agentic_work_log_project_id_fkey,agentic_work_log,project_id,agentic_projects,id
agentic_work_log_task_id_fkey,agentic_work_log,task_id,agentic_tasks,id
alma_tags_parent_id_fkey,alma_tags,parent_id,alma_tags,id
data_catalog_snapshots_table_name_fkey,data_catalog_snapshots,table_name,data_catalog,table_name
goods_procurement_signals_asset_id_fkey,goods_procurement_signals,asset_id,goods_asset_lifecycle,id
goods_procurement_signals_buyer_entity_id_fkey,goods_procurement_signals,buyer_entity_id,goods_procurement_entities,id
goods_procurement_signals_community_id_fkey,goods_procurement_signals,community_id,goods_communities,id
goods_procurement_signals_product_id_fkey,goods_procurement_signals,product_id,goods_products,id
content_link_suggestions_reviewed_by_fkey,content_link_suggestions,reviewed_by,users,id
funding_ghl_handoffs_created_by_fkey,funding_ghl_handoffs,created_by,users,id
funding_ghl_handoffs_decision_id_fkey,funding_ghl_handoffs,decision_id,act_grant_recommendation_decisions,id
funding_ghl_handoffs_opportunity_id_fkey,funding_ghl_handoffs,opportunity_id,alma_funding_opportunities,id
funding_ghl_handoffs_org_profile_id_fkey,funding_ghl_handoffs,org_profile_id,org_profiles,id
funding_ghl_handoffs_org_project_id_fkey,funding_ghl_handoffs,org_project_id,org_projects,id
alma_evidence_author_profile_id_fkey,alma_evidence,author_profile_id,public_profiles,id
alma_extraction_patterns_superseded_by_fkey,alma_extraction_patterns,superseded_by,alma_extraction_patterns,id
alma_entity_sources_source_document_id_fkey,alma_entity_sources,source_document_id,alma_source_documents,id
project_storytellers_project_id_fkey,project_storytellers,project_id,projects,id
project_storytellers_storyteller_id_fkey,project_storytellers,storyteller_id,storytellers,id
jr_site_research_items_jr_site_id_fkey,jr_site_research_items,jr_site_id,jr_sites,id
jr_site_research_items_parent_item_id_fkey,jr_site_research_items,parent_item_id,jr_site_research_items,id
jr_site_research_items_updated_by_fkey,jr_site_research_items,updated_by,users,id
alma_funding_applications_opportunity_id_fkey,alma_funding_applications,opportunity_id,alma_funding_opportunities,id
alma_funding_applications_organization_id_fkey,alma_funding_applications,organization_id,organizations,id
postcode_sa2_concordance_sa2_code_fkey,postcode_sa2_concordance,sa2_code,sa2_reference,sa2_code
alma_intervention_evidence_evidence_id_fkey,alma_intervention_evidence,evidence_id,alma_evidence,id
alma_intervention_evidence_intervention_id_fkey,alma_intervention_evidence,intervention_id,alma_interventions,id
alma_intervention_outcomes_intervention_id_fkey,alma_intervention_outcomes,intervention_id,alma_interventions,id
alma_intervention_outcomes_outcome_id_fkey,alma_intervention_outcomes,outcome_id,alma_outcomes,id
alma_program_interventions_intervention_id_fkey,alma_program_interventions,intervention_id,alma_interventions,id
alma_program_interventions_program_id_fkey,alma_program_interventions,program_id,alma_government_programs,id
funding_weekly_cycles_org_profile_id_fkey,funding_weekly_cycles,org_profile_id,org_profiles,id
jr_site_impact_figures_jr_site_id_fkey,jr_site_impact_figures,jr_site_id,jr_sites,id
jr_site_impact_figures_measures_item_id_fkey,jr_site_impact_figures,measures_item_id,jr_site_research_items,id
jr_site_impact_figures_updated_by_fkey,jr_site_impact_figures,updated_by,users,id
community_programs_alma_intervention_id_fkey,registered_services,alma_intervention_id,alma_interventions,id
community_programs_organization_id_fkey,registered_services,organization_id,organizations,id
community_programs_service_id_fkey,registered_services,service_id,services,id
registered_services_linked_service_id_fkey,registered_services,linked_service_id,services,id
alma_research_findings_session_id_fkey,alma_research_findings,session_id,alma_research_sessions,id
digest_log_org_profile_id_fkey,digest_log,org_profile_id,org_profiles,id
org_deadlines_grant_id_fkey,org_deadlines,grant_id,org_grants,id
org_deadlines_organization_id_fkey,org_deadlines,organization_id,organizations,id
alma_research_sessions_user_id_fkey,alma_research_sessions,user_id,users,id
alma_research_tool_logs_session_id_fkey,alma_research_tool_logs,session_id,alma_research_sessions,id
ghl_task_bridge_org_profile_id_fkey,ghl_task_bridge,org_profile_id,org_profiles,id
act_person_roles_person_id_fkey,act_person_roles,person_id,act_people,id
act_ask_warmers_org_profile_id_fkey,act_ask_warmers,org_profile_id,org_profiles,id
act_ask_warmers_person_id_fkey,act_ask_warmers,person_id,act_people,id
person_roles_entity_id_fkey,person_roles,entity_id,gs_entities,id
person_roles_person_entity_id_fkey,person_roles,person_entity_id,gs_entities,id
act_ask_artefacts_org_profile_id_fkey,act_ask_artefacts,org_profile_id,org_profiles,id
act_payable_decisions_decided_by_fkey,act_payable_decisions,decided_by,users,id
act_payable_decisions_invoice_id_fkey,act_payable_decisions,invoice_id,xero_invoices,id
source_frontier_foundation_id_fkey,source_frontier,foundation_id,foundations,id
source_frontier_gs_entity_id_fkey,source_frontier,gs_entity_id,gs_entities,id
analysis_jobs_storyteller_id_fkey,analysis_jobs,storyteller_id,storytellers,id
analysis_jobs_transcript_id_fkey,analysis_jobs,transcript_id,transcripts,id
art_innovation_organization_id_fkey,art_innovation,organization_id,organizations,id
art_innovation_program_id_fkey,art_innovation,program_id,registered_services,id
nz_charities_gs_entity_id_fkey,nz_charities,gs_entity_id,gs_entities,id
nz_gets_contracts_gs_entity_id_fkey,nz_gets_contracts,gs_entity_id,gs_entities,id
art_innovation_profiles_art_innovation_id_fkey,art_innovation_profiles,art_innovation_id,art_innovation,id
art_innovation_profiles_public_profile_id_fkey,art_innovation_profiles,public_profile_id,public_profiles,id
article_locations_article_id_fkey,article_locations,article_id,articles,id
org_program_source_links_funder_entity_id_fkey,org_program_source_links,funder_entity_id,gs_entities,id
org_program_source_links_org_program_id_fkey,org_program_source_links,org_program_id,org_programs,id
org_program_source_links_parent_funder_entity_id_fkey,org_program_source_links,parent_funder_entity_id,gs_entities,id
article_related_programs_article_id_fkey,article_related_programs,article_id,articles,id
article_related_programs_program_id_fkey,article_related_programs,program_id,registered_services,id
articles_author_id_fkey,articles,author_id,public_profiles,id
articles_organization_id_fkey,articles,organization_id,organizations,id
alma_conversations_user_id_fkey,alma_conversations,user_id,users,id
tracker_site_snapshots_run_id_fkey,tracker_site_snapshots,run_id,agent_runs,id
authors_public_profile_id_fkey,authors,public_profile_id,public_profiles,id
project_profiles_org_profile_id_fkey,project_profiles,org_profile_id,org_profiles,id
