proname,args,lanname,prokind
accept_pending_invitations,"",plpgsql,f
act_auto_pass_stale_pipeline,"",plpgsql,f
act_parse_pipeline_deadline,d text,plpgsql,f
add_new_storyteller,"p_email text, p_full_name text, p_community text, p_bio text",plpgsql,f
analyze_contact_strategic_value,"",plpgsql,f
approve_proposal,"proposal_id uuid, reviewer text, notes text",plpgsql,f
assign_engagement_tier,person_uuid uuid,plpgsql,f
assign_task_to_agent,"p_task_id uuid, p_agent_id text",plpgsql,f
auto_approve_high_confidence,"confidence_threshold double precision, dry_run boolean",plpgsql,f
auto_create_org_membership,"",plpgsql,f
auto_create_person_identity,"",plpgsql,f
auto_tag_invoice_income_type,"",plpgsql,f
award_theme_map,raw text,sql,f
backfill_all_community_programs_to_alma,"",plpgsql,f
backfill_community_program_to_alma_intervention,p_program_id uuid,plpgsql,f
bridge_civicscope_to_act_exact,p_rebuild boolean,plpgsql,f
bridge_civicscope_to_act_fuzzy,"p_batch_limit integer, p_after_id uuid, p_min_similarity numeric",plpgsql,f
calculate_api_cost,"p_provider text, p_model text, p_endpoint text, p_input_tokens integer, p_output_tokens integer",plpgsql,f
calculate_calibration,"p_agent_id text, p_window_days integer",plpgsql,f
calculate_community_authority_signal,intervention_id uuid,plpgsql,f
calculate_community_investment_score,p_jurisdiction text,plpgsql,f
calculate_coverage_metrics,"",plpgsql,f
calculate_decay_score,"p_last_accessed timestamp with time zone, p_access_count integer, p_confidence double precision, p_importance text",plpgsql,f
calculate_empowerment_score,analysis_data jsonb,plpgsql,f
calculate_engagement_score,"session_time integer, page_views integer, interactions integer, collaborations integer",plpgsql,f
calculate_evidence_signal,intervention_id uuid,plpgsql,f
calculate_funding_match_score,"p_opportunity_id uuid, p_organization_id uuid",plpgsql,f
calculate_funding_relevance,opportunity_id uuid,plpgsql,f
calculate_harm_risk_signal,intervention_id uuid,plpgsql,f
calculate_health_trend,p_site_id uuid,plpgsql,f
calculate_implementation_signal,intervention_id uuid,plpgsql,f
calculate_migration_priority,"sub_amount numeric, sub_metadata jsonb, sub_confidence numeric",plpgsql,f
calculate_next_scrape,"p_update_frequency text, p_priority_score numeric",plpgsql,f
calculate_option_value_signal,intervention_id uuid,plpgsql,f
calculate_portfolio_score,int_id uuid,plpgsql,f
calculate_portfolio_signals,p_intervention_id uuid,plpgsql,f
calculate_potential_savings,"p_young_people_diverted integer, p_detention_cost_per_day numeric, p_community_cost_per_day numeric, p_avg_detention_days integer",plpgsql,f
calculate_project_sovereignty_score,target_project_id uuid,plpgsql,f
calculate_reading_time,content_text text,plpgsql,f
calculate_relationship_score,contact_id uuid,plpgsql,f
calculate_relationship_temperature,"p_days_since_contact integer, p_total_touchpoints integer, p_inbound_count integer, p_outbound_count integer",plpgsql,f
calculate_service_completeness,service_id_param uuid,plpgsql,f
calculate_trust_score,"interaction_dates timestamp with time zone[], quality_scores numeric[], base_score numeric, decay_days numeric",plpgsql,f
can_access_story,"story_id uuid, user_id uuid",plpgsql,f
can_read_storyteller_data,"",sql,f
charity_sector_snapshot,"",plpgsql,f
charity_snapshot_beneficiaries,"",sql,f
charity_snapshot_by_size,"",sql,f
charity_snapshot_by_state,"",sql,f
charity_snapshot_operating_states,"",sql,f
charity_snapshot_pbi,"",sql,f
charity_snapshot_purposes,"",sql,f
charity_snapshot_top_grant_makers,"",sql,f
charity_snapshot_trends,"",sql,f
check_action_bounds,"p_action_name text, p_params jsonb",plpgsql,f
check_consent_compliance,"p_entity_type text, p_entity_id uuid, p_action text",plpgsql,f
check_coordination_complete,p_parent_id uuid,plpgsql,f
check_cultural_content,"",plpgsql,f
check_cultural_restrictions,"p_entity_type text, p_entity_id text",plpgsql,f
check_daily_spend_alert,p_threshold_usd numeric,plpgsql,f
civic_meeting_tags_touch_updated_at,"",plpgsql,f
civic_org_classifications_touch_updated_at,"",plpgsql,f
civicscope_normalize_org_name,p_name text,sql,f
claim_next_task,p_concurrency_limit integer,plpgsql,f
classify_alma_topics,"",plpgsql,f
classify_justice_funding_topics,"",plpgsql,f
cleanup_expired_conversations,"",plpgsql,f
cleanup_expired_proposals,"",plpgsql,f
cleanup_old_audit_logs,retention_days integer,plpgsql,f
cleanup_old_integration_events,"",plpgsql,f
cleanup_old_sync_events,retention_days integer,plpgsql,f
closing_the_gap_state_summary,"",sql,f
community_voices_by_location,p_state text,sql,f
community_voices_for_org,p_org_id uuid,sql,f
compare_interventions,p_intervention_ids uuid[],plpgsql,f
complete_ralph_task,"p_task_id uuid, p_run_id uuid, p_success boolean, p_output text, p_error text, p_commit_sha text, p_files_modified jsonb",plpgsql,f
complete_task,"p_task_id uuid, p_output jsonb, p_reasoning text, p_confidence numeric",plpgsql,f
contact_matches_region,"contact_location text, region_tags text[]",plpgsql,f
contact_matches_role,"contact_position text, contact_company text, contact_industry text, contact_skills text[], contact_alignment_tags text[], role_tags text[]",plpgsql,f
cosine_similarity,"a vector, b vector",plpgsql,f
counterparty_count,mv_gs_entity_stats,sql,f
create_decision_outcomes_table,"",plpgsql,f
create_decisions_table,"",plpgsql,f
create_empathy_project,"project_name text, organization_name text, organization_email text, creator_user_id uuid, template_id uuid",plpgsql,f
create_extraction_notifications,"",plpgsql,f
create_health_alert,"",plpgsql,f
create_research_session,"p_query text, p_depth text, p_max_consent_level text, p_user_id uuid",plpgsql,f
create_review_reminders,"",plpgsql,f
dashboard_foundation_tiers,"",sql,f
dashboard_foundation_total_giving,"",sql,f
dashboard_geographic_distribution,"",sql,f
dashboard_sector_distribution,"",sql,f
dashboard_source_coverage,"",sql,f
data_corrections_touch_updated_at,"",plpgsql,f
decrement_communities_joined,p_user_id uuid,plpgsql,f
decrement_stories_contributed,p_user_id uuid,plpgsql,f
delete_old_pulse_events,"",plpgsql,f
detect_cultural_content,"",plpgsql,f
detect_repeated_mistakes,"p_agent_id text, p_min_occurrences integer, p_window_days integer",plpgsql,f
determine_lcaa_stage,"p_temperature integer, p_inbound_count integer, p_outbound_count integer, p_total_touchpoints integer",plpgsql,f
evaluate_autonomy_change,"p_action_name text, p_window_days integer",plpgsql,f
exec_agent_sql,query_text text,plpgsql,f
exec_sql,query text,plpgsql,f
exhibition_search,"q text, lim integer",plpgsql,f
expire_old_proposals,"",plpgsql,f
extract_notion_project_status,"",plpgsql,f
find_evidence_gaps,"p_jurisdiction text, p_intervention_type text, p_limit integer",plpgsql,f
find_potential_duplicates,"p_entity_id uuid, p_threshold numeric",plpgsql,f
find_similar_decisions,"p_input_context jsonb, p_decision_type text, p_limit integer",plpgsql,f
find_similar_knowledge,"query_embedding vector, match_threshold double precision, match_count integer",plpgsql,f
flag_low_confidence_executions,"",plpgsql,f
generate_album_slug,title_text text,plpgsql,f
generate_event_slug,"",plpgsql,f
generate_input_hash,"",plpgsql,f
generate_public_profile_slug,"",plpgsql,f
generate_short_id,length integer,plpgsql,f
generate_storage_prefix,"",plpgsql,f
generate_weekly_report_data,"p_week_start date, p_organization_id uuid",plpgsql,f
get_agent_health,p_hours integer,plpgsql,f
get_auto_approval_stats,"",sql,f
get_business_state_summary,"",plpgsql,f
get_calendar_events,"p_start_date timestamp with time zone, p_end_date timestamp with time zone, p_project_code text, p_calendar_id text, p_limit integer",plpgsql,f
get_calendar_stats,"p_start_date timestamp with time zone, p_end_date timestamp with time zone",plpgsql,f
get_case_for_change,"",plpgsql,f
get_contacts_needing_attention,days_threshold integer,plpgsql,f
get_contained_intel_summary,"",sql,f
get_cost_summary,"p_start_date date, p_end_date date",plpgsql,f
get_current_platform_organization_id,"",plpgsql,f
get_decay_stats,"",sql,f
get_decision_quality_metrics,"p_agent_id text, p_decision_type text, p_days integer",plpgsql,f
get_decision_recommendations,limit_count integer,plpgsql,f
get_edge_type_counts,"",sql,f
get_entity_breakdown,"",sql,f
get_entity_by_identifier,identifier text,plpgsql,f
get_feedback_adjusted_score,"p_user_id uuid, p_grant_id uuid, p_base_score double precision",plpgsql,f
get_foundation_acnc_summary,"",sql,f
get_foundation_confidence_breakdown,"",sql,f
get_foundation_program_counts,"",sql,f
get_funding_by_source,"",sql,f
get_funding_gaps,"p_state text, p_remoteness text, p_limit integer",sql,f
get_funding_operating_report,"",sql,f
get_funding_total,"",sql,f
get_gmail_accounts_for_sync,"",sql,f
get_grant_award_history,"p_grant_id uuid, p_winner_limit integer",sql,f
get_grant_source_breakdown,"",sql,f
get_gs_relationship_types,"",plpgsql,f
get_hero_image,"p_link_type text, p_link_id text",plpgsql,f
get_intervention_comprehensive,p_intervention_id uuid,plpgsql,f
get_jurisdiction_stats,p_jurisdiction text,plpgsql,f
get_knowledge_neighbors,"p_node_type text, p_node_id uuid, p_edge_types text[], p_min_strength double precision, p_limit integer",plpgsql,f
get_knowledge_subgraph,"p_node_type text, p_node_id uuid, p_hops integer, p_min_strength double precision, p_limit integer",plpgsql,f
get_location_id_by_name,location_name text,sql,f
get_next_exa_batch,"p_batch_size integer, p_campaign_type text",plpgsql,f
get_pending_enrichments,p_project_slug text,plpgsql,f
get_pending_sync_events,"batch_size integer, target_filter text",plpgsql,f
get_pipeline_stats,"",sql,f
get_power_holder,"p_abn text, p_gs_id text, p_name text",sql,f
get_power_map_board_connectors,"top_org_limit integer, min_boards integer, lim integer",sql,f
get_power_map_control_breakdown,"",sql,f
get_power_map_stats,"",sql,f
get_power_map_top_orgs,lim integer,sql,f
get_project_context,"p_project_code text, p_days integer",plpgsql,f
get_project_media,"p_link_type text, p_link_id text",plpgsql,f
get_project_timeline,"p_project_code text, p_limit integer, p_types text[]",plpgsql,f
get_ralph_next_task,p_prd_id uuid,plpgsql,f
