view_name,owner,def_len
accounting_summary,postgres,1090
act_funding_opportunity_current_status,postgres,2144
act_grant_recommendations_current,postgres,8496
agent_health_dashboard,postgres,653
agent_status,postgres,865
agentic_project_dashboard,postgres,621
alma_cost_analysis,postgres,954
alma_media_articles_publishable,postgres,472
alma_unified_search,postgres,1654
auto_approval_quality,postgres,453
canonical_organizations,postgres,1421
coe_key_people_v,postgres,172
community_engagement_overview,postgres,582
community_programs_profiles_v,postgres,248
consolidation_progress,postgres,437
coordinating_tasks,postgres,675
current_knowledge,postgres,331
delegated_tasks,postgres,442
discrimination_aggregations_v,postgres,262
discrimination_sa3_totals_v,postgres,288
enrichment_ready_contacts,postgres,3233
financial_by_account,postgres,367
financial_monthly_summary,postgres,542
jr_site_front_door,postgres,173
justice_funding_clean,postgres,475
knowledge_review_schedule,postgres,993
knowledge_source_health,postgres,960
migration_progress,postgres,1308
missing_receipts,postgres,597
missing_subscriptions,postgres,1298
org_governance,postgres,1408
partner_storytellers_v,postgres,287
pending_extractions,postgres,822
pending_proposals,postgres,606
programs_catalog_v,postgres,3370
public_media_with_collections,postgres,791
qld_bills,postgres,473
qld_coroners_findings,postgres,419
receipt_weekly_summary,postgres,1078
se_directory,postgres,977
services_unified,postgres,4611
site_latest_health,postgres,736
subscription_cost_anomalies,postgres,1419
subscription_cost_by_account,postgres,1324
subscription_cost_by_category,postgres,1583
subscription_payment_calendar,postgres,928
subscription_renewal_alerts,postgres,953
sync_event_statistics,postgres,550
task_queue_dashboard,postgres,686
unreconciled_financial_documents,postgres,548
unused_subscriptions,postgres,880
v_acco_yj_retention_qld,postgres,1396
v_acnc_grant_makers,postgres,869
v_acnc_latest,postgres,1711
v_act_expense_by_payee,postgres,998
v_act_expense_by_project,postgres,675
v_act_expense_history,postgres,2126
v_act_financial_pulse,postgres,3612
v_act_income_by_funder,postgres,1045
v_act_income_by_project,postgres,676
v_act_income_history,postgres,1873
v_act_organisations,postgres,862
v_act_payables_triage,postgres,2350
v_act_people,postgres,4861
v_act_pipeline_unified,postgres,1505
v_act_procurement_buyers,postgres,4593
v_activity_stream,postgres,2731
v_agent_activity_summary,postgres,499
v_agent_runtime_sweeps,postgres,2367
v_agentic_funding_queue,postgres,740
v_alma_current_impact,postgres,232
v_announced_money_by_kind,postgres,2083
v_awaiting_response,postgres,866
v_award_rows,postgres,1021
v_bgfit_budget_vs_actual,postgres,1024
v_bgfit_grant_health,postgres,1271
v_bgfit_pnl,postgres,800
v_bgfit_upcoming_deadlines,postgres,777
v_calendar_events_with_projects,postgres,974
v_canonical_contacts,postgres,862
v_cashflow_summary,postgres,200
v_chain_summary,postgres,428
v_charity_detail,postgres,1191
v_charity_explorer,postgres,2287
v_claim_evidence_summary,postgres,980
v_contact_360,postgres,2991
v_contact_communication_summary,postgres,998
v_contained_crm_organizations,postgres,6495
v_contained_crm_people,postgres,6039
v_ctg_youth_justice_progress,postgres,2339
v_cultural_data_access,postgres,189
v_data_catalog_latest,postgres,695
v_data_health,postgres,1737
v_data_quality_scores,postgres,1184
v_data_sufficiency,postgres,495
v_discovery_summary,postgres,282
v_duplicate_review_queue,postgres,575
v_enriched_opportunities,postgres,625
v_enrichment_review_queue,postgres,352
v_entity_360,postgres,4147
v_entity_abr,postgres,655
v_entity_funding_mix,postgres,2634
v_entity_name_candidates,postgres,493
v_entity_organisation_group,postgres,570
v_entity_resolution_stats,postgres,366
v_facilities_with_partnerships,postgres,1930
v_finance_bank_line_evidence,postgres,4656
v_funder_next_move,postgres,1685
v_funder_summary,postgres,3024
v_funder_tag_density,postgres,566
v_funders_summary,postgres,1160
v_funding_award_community_accountability,postgres,1230
v_funding_ingest_health,postgres,1403
v_funding_outcomes_chain,postgres,1232
v_funding_pipeline,postgres,914
v_funding_program_names,postgres,149
v_goods_central_channels,postgres,1188
v_goods_community_priority,postgres,1248
v_goods_foundation_targets,postgres,3293
v_goods_life_events,postgres,3787
v_goods_relationship_funding,postgres,3734
v_goods_relationship_power,postgres,803
v_goods_warm_intros,postgres,1604
v_governed_proof_density_summary,postgres,422
v_governed_proof_hot_lane,postgres,653
v_grant_readiness,postgres,1428
v_harvest_public_social_posts,postgres,239
v_harvest_public_stories,postgres,414
v_harvest_social_performance,postgres,625
v_harvest_upcoming_events,postgres,209
v_indigenous_youth_overrepresentation,postgres,431
v_justice_funding_by_org,postgres,499
v_justice_funding_by_program,postgres,378
v_justice_funding_summary,postgres,367
v_justice_spending_summary,postgres,603
v_lga_place_profile,postgres,6323
v_monthly_revenue,postgres,538
v_ndis_market_concentration_hotspots,postgres,283
v_ndis_provider_supply_summary,postgres,224
