name,kind,state,place,confidence,abn,gs_id,why
"Bawinanga Aboriginal Corporation","builder","NT","Maningrida","none","","","no exact name in gs_entities"
"Thamarrurr Development Corporation","community_org","NT","Wadeye","none","","","no exact name in gs_entities"
"Roper Gulf Regional Council","council","NT","Big Rivers","none","","","no exact name in gs_entities"
"Miwatj Health Aboriginal Corporation","health_service","NT","East Arnhem","high","96843428729","AU-ABN-96843428729","one exact-name record, same state"
"Anyinginyi Health Aboriginal Corporation","health_service","NT","Tennant Creek","high","97329483372","AU-ABN-97329483372","one exact-name record, same state"
"Centrecorp Foundation","royalty","NT","Central Australia","high","31136052796","AU-ABN-31136052796","one exact-name record, same state"
"East Arnhem Regional Council","council","NT","East Arnhem","none","","","no exact name in gs_entities"
"Homeland School Company","education","NT","Maningrida","none","","","no exact name in gs_entities"
"Julalikari Council Aboriginal Corporation","council","NT","Tennant Creek","high","52109391552","AU-ABN-52109391552","one exact-name record, same state"
"Mala'la Health Service Aboriginal Corporation","health_service","NT","Maningrida","high","89357836457","AU-ABN-89357836457","one exact-name record, same state"
"Oonchiumpa Consultancy and Services","community_org","NT","Alice Springs","none","","","no exact name in gs_entities"
"Palm Island Community Company","community_org","QLD","Palm Island","none","","","no exact name in gs_entities"
"The Community Shed","community_org","WA","Kalgoorlie","none","","","no exact name in gs_entities"
"Urapuntja Aboriginal Corporation","community_org","NT","Utopia Homelands","high","90789369670","AU-ABN-90789369670","one exact-name record, same state"
"Wilya Janta","community_org","NT","Tennant Creek","none","","","no exact name in gs_entities"
"Winnellie Health Service Aboriginal Corporation (WHSAC)","health_service","NT","Groote Archipelago","none","","","no exact name in gs_entities"
"Bukmak Constructions Pty Ltd","builder","NT","Galiwin'ku","none","","","no exact name in gs_entities"
"Binjari Community Aboriginal Corporation","builder","NT","Katherine region","high","36057252298","AU-ABN-36057252298","one exact-name record, same state"
"Central Land Council","land_council","NT","Central Australia","high","71979619393","AU-ABN-71979619393","one exact-name record, same state"
"The Arnhem Land Progress Aboriginal Corporation (ALPA)","store","NT","27 remote locations","none","","","no exact name in gs_entities"
"MacDonnell Regional Council","council","NT","Central Australia","none","","","no exact name in gs_entities"
"West Arnhem Regional Council","builder","NT","Darwin Region","high","45065336873","AU-ABN-45065336873","one exact-name record, same state"
"Aminjarrinja Enterprises Aboriginal Corporation","builder","NT","Housing Maintenance Program","high","36311427825","AU-ABN-36311427825","one exact-name record, same state"
"Sonwane Pty Limited as Trustee for Tangentyere Charitable No. 2","builder","NT","Alice Springs","none","","","no exact name in gs_entities"
"Bathurst Island Housing Association Incorporated","builder","NT","Arafura Region","none","","","no exact name in gs_entities"
"Roper Gulf Shire Council","builder","NT","Big Rivers Region","high","94746956090","AU-ABN-94746956090","one exact-name record, same state"
"Northern Land Council","land_council","NT","Top End","high","56327515336","AU-ABN-56327515336","one exact-name record, same state"
"Tangentyere Council Aboriginal Corporation","council","NT","Alice Springs","high","81688672692","AU-ABN-81688672692","one exact-name record, same state"
"Anindilyakwa Housing Aboriginal Corporation","housing_provider","","","check","20540220127","AU-ABN-20540220127","1 exact-name records, none in "
"Tiwi Land Council","land_council","NT","Tiwi Islands","high","86106441085","AU-ABN-86106441085","one exact-name record, same state"
"Aboriginal Medical Services Alliance Northern Territory Aboriginal Corporation","health_service","","","check","26263401676","AU-ABN-26263401676","1 exact-name records, none in "
"Central Australian Aboriginal Congress","health_service","NT","Alice Springs","none","","","no exact name in gs_entities"
"Laynhapuy Homelands Aboriginal Corporation","community_org","","","check","86695642473","AU-ABN-86695642473","1 exact-name records, none in "
"Peak Hill Local Aboriginal Land Council","land_council","","","check","81813013475","AU-ABN-81813013475","1 exact-name records, none in "
"Anindilyakwa Land Council","land_council","NT","Groote Archipelago","high","45175406445","AU-ABN-45175406445","one exact-name record, same state"
"Katherine West Health Board Aboriginal Corporation","health_service","NT","Katherine","high","23351866925","AU-ABN-23351866925","one exact-name record, same state"
"Juunjuwarra Aboriginal Corporation","community_org","","","check","20733551348","AU-ABN-20733551348","1 exact-name records, none in "
"Milingimbi and Outstations Progress Resources Aboriginal Corporation","store","","","check","95362856173","AU-ABN-95362856173","1 exact-name records, none in "
"Aboriginal Housing Northern Territory","housing_provider","NT","Territory wide","none","","","no exact name in gs_entities"
"Aurukun Shire Council","council","QLD","Aurukun","high","32338490426","AU-ABN-32338490426","one exact-name record, same state"
"Central Desert Regional Council","council","NT","Central Australia","none","","","no exact name in gs_entities"
"Cherbourg Aboriginal Shire Council","council","QLD","Cherbourg","high","17862722505","AU-ABN-17862722505","one exact-name record, same state"
"Danila Dilba Health Service","health_service","NT","Darwin","none","","","no exact name in gs_entities"
"Doomadgee Aboriginal Shire Council","council","QLD","Doomadgee","high","64535061721","AU-ABN-64535061721","one exact-name record, same state"
"Kimberley Regional Service Providers","housing_provider","WA","Kimberley","none","","","no exact name in gs_entities"
"Kowanyama Aboriginal Shire Council","council","QLD","Kowanyama","none","","","no exact name in gs_entities"
"Marthakal Homelands and Resource Centre Aboriginal Corporation","housing_provider","NT","Galiwinku","high","17397988374","AU-ABN-17397988374","one exact-name record, same state"
"Mowanjum Aboriginal Corporation","housing_provider","WA","Derby","high","38721336893","AU-ABN-38721336893","one exact-name record, same state"
