code,name,file,table,jev,confidence,xero,ghl,calendar,email,notes,xero_last_year,ghl_open,calendar_upcoming,emails_last_year,ask_ben,ben_answer
"ACT-10","10x10 Retreat","archived","archived","ended","0.95","between 3 and 12 months ago","never","between 3 and 12 months ago","never","never","23","0","0","0",,
"ACT-AI","AIME","archived","archived","ended","0.86","never","never","within the last 3 months","never","between 3 and 12 months ago","0","0","0","0",,
"ACT-AMT","API Migration Test","not in the file","archived","ended","1.00","never","never","never","never","never","0","0","0","0",,
"ACT-APO","Active Projects Overview","not in the file","archived","ended","1.00","never","never","never","never","between 3 and 12 months ago","0","0","0","0",,
"ACT-AS","Art for Social Change","archived","archived","ended","0.90","never","never","never","never","never","0","0","0","0",,
"ACT-BB","Barkly Backbone","ideation","ideation","dormant","0.46","one to two years ago","within the last 3 months","never","never","between 3 and 12 months ago","0","1","0","0",yes,
"ACT-BG","BG Fit","active","active","active","0.68","between 3 and 12 months ago","never","between 3 and 12 months ago","never","between 3 and 12 months ago","18","0","0","0",yes,
"ACT-BM","Bimberi","archived","archived","ended","0.88","never","never","between 3 and 12 months ago","never","between 3 and 12 months ago","0","0","0","0",,
"ACT-BR","ACT Bali Retreat","archived","archived","ended","0.97","between 3 and 12 months ago","never","within the last 3 months","never","between 3 and 12 months ago","2","0","0","0",,
"ACT-BV","Black Cockatoo Valley","not in the file","active","dormant","0.53","never","never","between 3 and 12 months ago","never","between 3 and 12 months ago","0","0","0","0",yes,
"ACT-CA","Caring for those who care","active","active","active","0.60","one to two years ago","within the last 3 months","between 3 and 12 months ago","never","between 3 and 12 months ago","0","1","0","0",yes,
"ACT-CB","Marriage Celebrant","active","active","active","0.41","within the last 3 months","never","never","never","never","4","0","0","0",yes,
"ACT-CC","ACT Conservation Collective","archived","archived","ended","0.85","never","never","never","never","between 3 and 12 months ago","0","0","0","0",,
"ACT-CE","Custodian First Economy","active","active","dormant","0.91","one to two years ago","never","never","never","between 3 and 12 months ago","0","0","0","0",yes,
"ACT-CF","The Confessional","active","active","active","0.78","between 3 and 12 months ago","between 3 and 12 months ago","between 3 and 12 months ago","never","between 3 and 12 months ago","18","0","0","0",yes,
"ACT-CG","CivicGraph (CivicScope)","not in the file","active","dormant","0.47","never","never","never","never","between 3 and 12 months ago","0","0","0","0",yes,
"ACT-CM","CAMPFIRE","active","active","merged","0.89","never","never","never","never","never","0","0","0","0",yes,
"ACT-CN","Contained","active","active","active","0.87","within the last 3 months","between 3 and 12 months ago","within the last 3 months","never","between 3 and 12 months ago","25","94","0","0",,
"ACT-CORE","ACT Regenerative Studio","active","active","active","1.00","within the last 3 months","within the last 3 months","within the last 3 months","never","between 3 and 12 months ago","293","5","11","0",,
"ACT-CP","Community Capital","active","active","dormant","0.80","one to two years ago","never","between 3 and 12 months ago","never","between 3 and 12 months ago","0","0","0","0",yes,
"ACT-CS","Civic Scope","active","active","dormant","0.65","never","never","never","never","never","0","0","0","0",yes,
"ACT-CT","ConFit Pathways","active","active","dormant","0.98","never","never","never","never","never","0","0","0","0",yes,
"ACT-CTP","Confessions to Philanthropy","active","not in the projects table","dormant","0.85","never","never","never","never","never","0","0","0","0",yes,
"ACT-CVN","The Caravan","active","not in the projects table","dormant","0.89","never","never","never","never","never","0","0","0","0",yes,
"ACT-DD","Double Disadvantage","archived","archived","ended","0.80","never","never","never","never","between 3 and 12 months ago","0","0","0","0",,
"ACT-DG","Diagrama","active","active","dormant","0.70","one to two years ago","never","between 3 and 12 months ago","never","between 3 and 12 months ago","0","0","0","0",yes,
"ACT-DH","Deadly Homes and Gardens","archived","archived","ended","0.78","never","never","never","never","between 3 and 12 months ago","0","0","0","0",yes,
"ACT-DL","DadLab","active","active","active","0.71","between 3 and 12 months ago","never","never","never","between 3 and 12 months ago","4","0","0","0",yes,
"ACT-DLB","Deadly Labs","active","active","dormant","0.81","never","never","never","never","never","0","0","0","0",yes,
"ACT-DO","Designing for Obsolescence","sunsetting","sunsetting","ended","0.38","between 3 and 12 months ago","never","never","never","between 3 and 12 months ago","33","0","0","0",yes,
"ACT-EFI","Economic Freedom Initiative","archived","archived","ended","0.93","never","never","never","never","never","0","0","0","0",,
"ACT-EL","Empathy Ledger","active","active","active","0.80","within the last 3 months","never","within the last 3 months","never","between 3 and 12 months ago","128","0","0","0",,
"ACT-ER","PICC Elders Room","archived","archived","ended","0.88","between 3 and 12 months ago","never","one to two years ago","between 3 and 12 months ago","never","1","0","0","15",,
"ACT-FA","Festival Activations","archived","archived","ended","0.89","never","never","never","never","between 3 and 12 months ago","0","0","0","0",,
"ACT-FG","Feel Good Project","active","active","dormant","0.97","one to two years ago","never","never","never","never","0","0","0","0",yes,
"ACT-FM","The Farm","active","active","active","0.96","within the last 3 months","between 3 and 12 months ago","within the last 3 months","never","between 3 and 12 months ago","97","1","6","0",,
"ACT-FN","First Nations Youth Advocacy","archived","archived","ended","0.85","never","never","never","never","never","0","0","0","0",,
"ACT-FO","Fishers Oysters","transferred","transferred","dormant","0.47","never","never","one to two years ago","never","between 3 and 12 months ago","0","0","0","0",yes,
"ACT-FP","Fairfax PLACE Tech","archived","archived","ended","0.77","never","within the last 3 months","never","never","between 3 and 12 months ago","0","2","0","0",yes,
"ACT-GCC","Global Community Connections","archived","archived","ended","0.91","never","never","never","never","never","0","0","0","0",,
"ACT-GD","Goods","active","active","active","0.99","within the last 3 months","within the last 3 months","within the last 3 months","within the last 3 months","within the last 3 months","449","116","0","1",,
"ACT-GL","Global Laundry Alliance","transferred","transferred","merged","0.10","between 3 and 12 months ago","within the last 3 months","within the last 3 months","never","between 3 and 12 months ago","1","0","0","0",yes,
"ACT-GP","Gold Phone","active","active","active","0.74","within the last 3 months","never","within the last 3 months","never","between 3 and 12 months ago","2","0","0","0",yes,
"ACT-GS","GrantScope (CivicGraph)","active","not in the projects table","dormant","0.73","never","never","never","never","never","0","0","0","0",yes,
"ACT-HQ","ACT Headquarters","not in the file","active","dormant","0.74","never","never","between 3 and 12 months ago","never","between 3 and 12 months ago","0","0","0","0",yes,
"ACT-HS","Project Her-Self","archived","archived","ended","0.82","never","never","never","never","between 3 and 12 months ago","0","0","0","0",,
"ACT-HV","The Harvest Witta","active","active","active","1.00","within the last 3 months","within the last 3 months","within the last 3 months","never","within the last 3 months","452","166","12","0",,
"ACT-IN","ACT Infrastructure","active","active","active","0.88","within the last 3 months","never","between 3 and 12 months ago","never","between 3 and 12 months ago","1273","0","0","0",,
"ACT-JC","JusticeHub Centre of Excellence","ideation","ideation","dormant","0.79","never","never","between 3 and 12 months ago","never","never","0","0","0","0",yes,
"ACT-JH","JusticeHub","active","active","active","0.92","between 3 and 12 months ago","between 3 and 12 months ago","within the last 3 months","between 3 and 12 months ago","within the last 3 months","50","0","0","3",,
"ACT-JP","June's Patch","active","active","active","0.70","between 3 and 12 months ago","never","between 3 and 12 months ago","never","between 3 and 12 months ago","3","0","0","0",yes,
"ACT-MC","Cars and Microcontrollers","active","active","dormant","0.89","never","never","never","never","between 3 and 12 months ago","0","0","0","0",yes,
"ACT-MD","ACT Monthly Dinners","active","active","dormant","0.72","between 3 and 12 months ago","never","never","never","between 3 and 12 months ago","1","0","0","0",yes,
"ACT-MM","MMEIC Justice","archived","archived","ended","0.75","never","never","one to two years ago","never","between 3 and 12 months ago","0","0","0","0",yes,
"ACT-MN","Maningrida","archived","archived","ended","0.82","never","within the last 3 months","between 3 and 12 months ago","never","between 3 and 12 months ago","0","1","0","0",,
"ACT-MR","MingaMinga Rangers","archived","archived","ended","0.79","never","never","never","never","between 3 and 12 months ago","0","0","0","0",yes,
"ACT-MU","Murrup + ACT","archived","archived","ended","0.81","never","never","one to two years ago","never","between 3 and 12 months ago","0","0","0","0",,
"ACT-MY","Mounty Yarns","active","active","active","0.80","between 3 and 12 months ago","never","between 3 and 12 months ago","never","between 3 and 12 months ago","46","0","0","0",,
"ACT-OE","Olive Express","archived","archived","ended","0.80","never","never","between 3 and 12 months ago","never","between 3 and 12 months ago","0","0","0","0",,
"ACT-OO","Oonchiumpa","active","active","active","0.97","within the last 3 months","within the last 3 months","within the last 3 months","never","between 3 and 12 months ago","44","1","0","0",,
"ACT-OS","Orange Sky EL","archived","archived","ended","0.75","one to two years ago","never","between 3 and 12 months ago","never","never","0","0","0","0",yes,
"ACT-PB","Place-Based Policy Lab","active","active","dormant","0.80","never","never","never","never","never","0","0","0","0",yes,
